F_obj:,7541.958541210039,0.6101706998704758
UpperZoneTimeConstant,20.005,20.005
LowerZoneTimeConstant,5020.0,5020.0
GwPercValue,1.005,0.8267938008644201
LZThreshold,15.0,15.0
b_Xinanjiang,2.505,2.505
PowerPrefFlow,4.25,2.054292667939743
SnowMeltCoef,4.784037686305423,4.848167544155364
CalChanMan,1.25,0.6358351624739278
CalChanMan2,2.75,2.75
LakeMultiplier,1.8568631289461086,1.7330700134397925
adjust_Normal_Flood,0.6542260084452406,0.6542260084452406
ReservoirRnormqMult,1.1968785608256327,1.870511279963326
AvWaterRateThreshold,62.97845228811137,62.84343695523208
QSplitMult,10.0,10.0
ChanBottomWMult,2.5,2.208172921870364
ChanDepthTMult,1.4549512984103485,1.4549512984103485
ChanSMult,2.489908016235287,2.489908016235287
GwLoss,0.0,0.0
fracirrigated,0.11641408089137872,0.11641408089137872
fracforest,0.5,0.4690089389548363
fracrice,0.5,0.5
fracother,0.27858719474227883,0.048589539050041985
fracsealed,0.09334015376353866,0.09334015376353866
fracwater,0.4696243613090617,0.4696243613090617
genua,0.035235869691889896,0.035235869691889896
lambda,0.2304895945194718,0.2304895945194718
thetas,0.3717080858017368,0.49860921517947376
thetar,0.4281124832487379,0.4281124832487379
ksat,25.0,32.93203302073977
