ParameterName,default,88.11770533490044,57.324873069221546,57.32481711422411,50.533243011525286,1.0102579851128575,1.0099746581761087,0.9807407059687189,0.9606390099141497,0.9562809234565941,0.9562809234565941.1,0.9560489698729857,0.9560489698729857.1,0.9549773417654548,0.954718465518217,0.8696641038867713,0.8668962354885797,0.8668962354885797.1,0.8631721127434323,0.8630541143322968,0.8629362613200385,0.8628427315481757,0.8628427315481757.1,0.8622827883712636,0.8620804791983046,0.8620804791983046.1,0.8620804791983046.1.1,0.8620804791983046.1.1.1,0.8565802458519268,0.8555782161093494,0.8555782161093494.1,0.8555782161093494.1.1,0.8555782161093494.1.1.1,0.8555464878333658,0.8555464878333658.1,0.8555464878333658.1.1,0.8528878145845727,0.8528878145845727.1,0.8528878145845727.1.1,0.8528878145845727.1.1.1,0.8528878145845727.1.1.1.1,0.8528878145845727.1.1.1.1.1,0.8460719903761151,0.8460719903761151.1,0.8460719903761151.1.1,0.8460719903761151.1.1.1,0.8460719903761151.1.1.1.1,0.8460719903761151.1.1.1.1.1,0.8460719903761151.1.1.1.1.1.1,0.8460719903761151.1.1.1.1.1.1.1,0.8460719903761151.1.1.1.1.1.1.1.1,0.8460719903761151.1.1.1.1.1.1.1.1.1,0.8457967684449126,0.845796764855233,0.845796764855233.1,0.843738772307205,0.843738772307205.1,0.843738772307205.1.1,0.8424891839289188,0.8424891839289188.1,0.8424891839289188.1.1,0.8417210020117226,0.8414941464575896,0.8414941464575896.1,0.8414941464575896.1.1,0.8414941464575896.1.1.1,0.8414941464575896.1.1.1.1,0.8414941464575896.1.1.1.1.1,0.8414941464575896.1.1.1.1.1.1,0.8414941464575896.1.1.1.1.1.1.1,0.8411218353126287,0.8411218353126287.1,0.8411218353126287.1.1,0.8411218353126287.1.1.1,0.8411218353126287.1.1.1.1,0.8411010686188157,0.8411010686188157.1,0.8411010686188157.1.1,0.8411010686188157.1.1.1,0.8411010686188157.1.1.1.1,0.8411010686188157.1.1.1.1.1,0.8411010686188157.1.1.1.1.1.1,0.8411010686188157.1.1.1.1.1.1.1,0.8411010686188157.1.1.1.1.1.1.1.1,0.8411010686188157.1.1.1.1.1.1.1.1.1,0.8410037783258437,0.8410037783258437.1,0.8410037783258437.1.1,0.8410037783258437.1.1.1,0.8410037783258437.1.1.1.1,0.8410037783258437.1.1.1.1.1,0.8410037783258437.1.1.1.1.1.1,0.8410037783258437.1.1.1.1.1.1.1,0.8410037783258437.1.1.1.1.1.1.1.1,0.8410037783258437.1.1.1.1.1.1.1.1.1,0.8410037783258437.1.1.1.1.1.1.1.1.1.1,0.8410037783258437.1.1.1.1.1.1.1.1.1.1.1,0.8410037783258437.1.1.1.1.1.1.1.1.1.1.1.1,0.8410037783258437.1.1.1.1.1.1.1.1.1.1.1.1.1,0.8410037783258437.1.1.1.1.1.1.1.1.1.1.1.1.1.1,0.8410037783258437.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,0.8410037783258437.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,0.8410037783258437.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,0.8410037783258437.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,0.8410037783258437.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,0.8410037783258437.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,0.8410037783258437.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,0.8410037783258437.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,0.8410037783258437.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,0.8410037783258437.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,0.8410037783258437.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,0.8410037783258437.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,0.8410037783258437.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,0.8410037783258437.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,0.8410037783258437.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,0.8410037783258437
UpperZoneTimeConstant,9.89046941501782,12.357715531275506,14.88257563786557,14.88257563786557,18.659942391600943,21.30359411397482,21.30359411397482,21.30359411397482,4.644170171910897,4.644170171910897,4.644170171910897,4.644170171910897,4.644170171910897,4.644170171910897,4.644170171910897,4.644170171910897,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654,6.028271703730654
LowerZoneTimeConstant,549.4796455824301,5966.957986966898,7028.970790856719,7028.970790856719,9519.77480556508,9519.77480556508,9519.77480556508,8499.221273904932,8499.221273904932,5399.763160524322,5399.763160524322,6239.11940068179,6239.11940068179,6239.11940068179,6239.11940068179,6239.11940068179,6239.11940068179,6239.11940068179,3808.833040815124,3808.833040815124,3808.833040815124,3808.833040815124,3808.833040815124,3808.833040815124,3808.833040815124,3808.833040815124,3808.833040815124,3808.833040815124,1991.680998756238,1991.680998756238,1991.680998756238,1991.680998756238,1991.680998756238,1991.680998756238,1991.680998756238,1991.680998756238,197.22362561753448,197.22362561753448,197.22362561753448,197.22362561753448,197.22362561753448,197.22362561753448,817.7088484214511,817.7088484214511,817.7088484214511,817.7088484214511,817.7088484214511,817.7088484214511,817.7088484214511,817.7088484214511,817.7088484214511,817.7088484214511,817.7088484214511,817.7088484214511,817.7088484214511,817.7088484214511,817.7088484214511,817.7088484214511,817.7088484214511,817.7088484214511,817.7088484214511,441.7200931513461,441.7200931513461,441.7200931513461,441.7200931513461,441.7200931513461,441.7200931513461,441.7200931513461,441.7200931513461,441.7200931513461,697.8868728994481,697.8868728994481,697.8868728994481,697.8868728994481,697.8868728994481,697.8868728994481,697.8868728994481,697.8868728994481,697.8868728994481,697.8868728994481,697.8868728994481,697.8868728994481,697.8868728994481,697.8868728994481,697.8868728994481,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137,683.2634601015137
GwPercValue,1.47473869929457,1.4449131545001752,0.7766916204358879,0.7766916204358879,0.8181090517756692,0.6187671703146933,0.6187671703146933,1.1168901030638856,1.1168901030638856,1.1168901030638856,1.1168901030638856,1.1168901030638856,1.1168901030638856,1.1168901030638856,1.1168901030638856,1.1168901030638856,1.1168901030638856,1.1168901030638856,1.1168901030638856,1.1168901030638856,1.0462540247495256,1.0462540247495256,1.0462540247495256,1.0462540247495256,1.0462540247495256,1.0462540247495256,1.0462540247495256,1.0462540247495256,1.0462540247495256,1.6027228499927146,1.6027228499927146,1.6027228499927146,1.6027228499927146,1.5910402406261552,1.5910402406261552,1.5910402406261552,1.5910402406261552,1.5910402406261552,1.5910402406261552,1.5910402406261552,1.5910402406261552,1.5910402406261552,1.5910402406261552,1.5910402406261552,1.5910402406261552,1.5910402406261552,1.5910402406261552,1.5910402406261552,1.5910402406261552,1.5910402406261552,1.5910402406261552,1.5910402406261552,1.618688474783222,1.618688474783222,1.618688474783222,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604,1.849551843251604
LZThreshold,28.67962583409484,18.83061065399816,18.83061065399816,18.83061065399816,26.83055419640968,26.83055419640968,28.052463155733925,16.78698873169541,16.78698873169541,16.78698873169541,16.78698873169541,14.026848645329244,14.026848645329244,14.026848645329244,14.026848645329244,14.026848645329244,14.026848645329244,6.434185224074952,6.434185224074952,5.408032681772088,5.408032681772088,5.408032681772088,5.408032681772088,5.408032681772088,5.408032681772088,5.347882677368832,0.0195103411244295,4.403657494569495,4.403657494569495,4.403657494569495,4.403657494569495,4.403657494569495,4.403657494569495,4.403657494569495,4.403657494569495,4.403657494569495,4.403657494569495,4.403657494569495,4.403657494569495,4.403657494569495,4.403657494569495,4.403657494569495,4.403657494569495,4.403657494569495,4.403657494569495,4.403657494569495,4.403657494569495,4.403657494569495,4.403657494569495,4.403657494569495,4.403657494569495,4.403657494569495,4.403657494569495,4.403657494569495,4.403657494569495,4.403657494569495,9.650940162403142,12.74195489028926,19.718913830866622,19.718913830866622,19.718913830866622,18.84761276269049,18.84761276269049,18.84761276269049,18.84761276269049,18.84761276269049,18.84761276269049,18.84761276269049,18.84761276269049,18.84761276269049,18.84761276269049,18.84761276269049,18.84761276269049,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,20.327811637704787,21.704449992725603,21.704449992725603
b_Xinanjiang,2.932745640651581,3.336889014777603,3.381238448916168,3.381238448916168,2.383649746343388,3.296452677240041,2.116431086189766,2.116431086189766,2.116431086189766,2.6806531306250183,2.6806531306250183,2.6806531306250183,2.6806531306250183,2.6806531306250183,1.9175689409264096,1.9175689409264096,1.5570899250164243,1.5570899250164243,1.5570899250164243,0.8860412817287098,0.8860412817287098,1.0236478137714995,1.0236478137714995,1.0236478137714995,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.4826315794536191,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433951,1.1252725985433953
PowerPrefFlow,0.9910476672951972,2.154961845696734,2.154961845696734,2.154844351082541,0.8871834002141061,0.8871834002141061,2.5323123508271954,2.5323123508271954,2.5323123508271954,1.0651337871326525,1.0651337871326525,1.0651337871326525,1.0651337871326525,0.8515081218605458,0.8515081218605458,0.8515081218605458,0.8515081218605458,0.8515081218605458,0.8515081218605458,0.8515081218605458,0.8515081218605458,0.8515081218605458,0.8515081218605458,0.6384502714169247,0.6384502714169247,0.6384502714169247,0.6384502714169247,0.6384502714169247,0.6384502714169247,0.6384502714169247,0.6384502714169247,0.6384502714169247,0.6384502714169247,0.6384502714169247,0.6384502714169247,0.6384502714169247,0.6384502714169247,0.6384502714169247,0.6384502714169247,0.6384502714169247,0.6384502714169247,0.6384502714169247,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9752531421815204,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926,0.9629574389412926
SnowMeltCoef,3.675248944532224,4.5,3.3211345361654487,4.131262091207449,4.131262091207449,4.131262091207449,4.131262091207449,4.131262091207449,4.131262091207449,4.131262091207449,2.908381695256314,2.545534518582776,2.545534518582776,2.545534518582776,2.545534518582776,2.545534518582776,2.545534518582776,2.698851956663768,3.938440606010871,4.626256886345047,4.626256886345047,4.626256886345047,4.626256886345047,4.626256886345047,4.626256886345047,4.626256886345047,4.711129163228539,4.711129163228539,4.711129163228539,4.711129163228539,4.711129163228539,4.711129163228539,4.711129163228539,4.711129163228539,4.711129163228539,4.711129163228539,4.711129163228539,2.577685995281742,2.577685995281742,2.577685995281742,2.577685995281742,2.577685995281742,2.577685995281742,2.577685995281742,2.577685995281742,2.577685995281742,2.577685995281742,2.577685995281742,2.577685995281742,2.577685995281742,3.134924951345502,3.134924951345502,3.134924951345502,3.134924951345502,3.134924951345502,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.305968203440196,3.3059682034401954
CalChanMan,1.3743108413208576,1.9919373177381323,1.9919373177381323,1.9919373177381323,1.9919373177381323,1.481858456607141,1.481858456607141,1.487981171196759,1.487981171196759,1.487981171196759,1.4595012137496814,1.3732960032478934,1.3732960032478934,1.3732960032478934,1.3732960032478934,1.3732960032478934,1.659881684457477,1.659881684457477,1.659881684457477,1.950162458694237,1.950162458694237,1.950162458694237,1.950162458694237,1.950162458694237,1.950162458694237,1.950162458694237,1.950162458694237,1.950162458694237,1.950162458694237,1.950162458694237,1.635545827962424,1.635545827962424,1.635545827962424,1.635545827962424,1.635545827962424,1.635545827962424,1.635545827962424,1.635545827962424,1.635545827962424,1.635545827962424,1.635545827962424,1.635545827962424,1.635545827962424,1.635545827962424,1.635545827962424,1.635545827962424,1.635545827962424,1.635545827962424,1.635545827962424,1.635545827962424,1.635545827962424,1.635545827962424,1.635545827962424,1.7802324609165667,1.7802324609165667,1.7802324609165667,1.7802324609165667,1.7802324609165667,1.7802324609165667,1.7802324609165667,1.7802324609165667,1.7802324609165667,1.7802324609165667,1.7802324609165667,1.7802324609165667,1.7802324609165667,1.7802324609165667,1.7802324609165667,1.7802324609165667,1.7802324609165667,1.7802324609165667,1.7802324609165667,1.7802324609165667,1.7802324609165667,1.7802324609165667,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.9066063497947137,1.6622635028653288
CalChanMan2,0.8606680495767594,3.422267634404828,3.422267634404828,4.047053792885701,4.047053792885701,3.4581726951779497,3.4581726951779497,3.7377175823877806,4.957691684863064,4.644314065938254,4.644314065938254,4.644314065938254,4.644314065938254,4.187521391109272,2.5511525957952523,1.8284896208193784,1.8284896208193784,1.8284896208193784,1.8284896208193784,1.8284896208193784,3.041391513446748,4.135577524901882,4.135577524901882,4.135577524901882,4.135577524901882,4.629038056643084,4.629038056643084,4.869398673474089,4.869398673474089,4.735936842977043,4.735936842977043,4.098351468390613,4.098351468390613,4.098351468390613,4.098351468390613,4.098351468390613,4.098351468390613,4.098351468390613,4.098351468390613,4.098351468390613,4.098351468390613,4.098351468390613,4.098351468390613,4.098351468390613,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,3.769502777700185,4.489001464986248,4.489001464986248,4.489001464986248,4.489001464986248,4.489001464986248,4.489001464986248,4.489001464986248,4.489001464986248,4.489001464986248,4.489001464986248,4.489001464986248,4.489001464986248,4.489001464986248,4.489001464986248,4.489001464986248,4.489001464986248,4.489001464986248,4.489001464986248,4.489001464986248,4.489001464986248,4.489001464986248,4.489001464986248,4.489001464986248,4.489001464986248,4.489001464986248,4.489001464986248,4.489001464986248,4.489001464986248,2.638929040188632,2.638929040188632,2.638929040188632,2.638929040188632,2.638929040188632,2.638929040188632,2.638929040188632,2.638929040188632,2.638929040188632,2.638929040188632,2.638929040188632
LakeMultiplier,0.6688858102038712,0.9411619120967638,1.13954912528252,1.037825642607803,0.6858440022173897,0.522659394433137,0.522659394433137,0.7182562945510746,0.7182562945510746,0.7182562945510746,0.9920348930107552,0.9920348930107552,0.9920348930107552,1.1807686405444104,1.4303042072314196,1.4303042072314196,1.4303042072314196,1.2644345608661376,1.2005306745215825,1.7036486064504777,1.7036486064504777,1.7649985047404435,1.5512811501021904,1.5786501750885322,1.5786501750885322,1.5786501750885322,1.5786501750885322,1.5786501750885322,1.2758826256525464,1.2758826256525464,1.2758826256525464,1.2758826256525464,1.2758826256525464,1.2758826256525464,1.2758826256525464,1.2758826256525464,1.2758826256525464,1.2758826256525464,1.2758826256525464,1.0775627012901,1.0775627012901,1.0775627012901,1.0775627012901,1.0775627012901,1.0775627012901,1.0775627012901,1.0775627012901,1.0775627012901,1.0775627012901,1.0775627012901,1.0775627012901,1.0775627012901,1.0775627012901,1.0775627012901,1.0775627012901,1.0775627012901,1.0775627012901,1.019073571138282,1.019073571138282,1.019073571138282,1.019073571138282,0.6709593706999297,0.6709593706999297,0.6709593706999297,0.6709593706999297,0.6709593706999297,0.6709593706999297,0.6709593706999297,0.6709593706999297,0.9236427688476238,0.9236427688476238,0.9236427688476238,0.9236427688476238,0.9236427688476238,0.9236427688476238,0.9236427688476238,0.9236427688476238,0.9236427688476238,0.9236427688476238,0.9236427688476238,0.9236427688476238,0.9236427688476238,0.9236427688476238,0.9236427688476238,0.9236427688476238,0.9236427688476238,0.9236427688476238,0.9236427688476238,0.9236427688476238,0.9236427688476238,0.9236427688476238,0.9236427688476238,0.9236427688476238,0.9236427688476238,0.9236427688476238,0.9236427688476238,0.9236427688476238,0.868099426980287,0.868099426980287,0.868099426980287,0.868099426980287,0.868099426980287,0.868099426980287,1.1833578017664892,1.1833578017664892,1.1833578017664892,1.1833578017664892,1.1833578017664892,1.1833578017664892,1.1833578017664892,1.1833578017664892,1.0307871634617802,1.0307871634617802,1.0307871634617802,1.0307871634617802,1.0307871634617802
