,pr
2013-09-14,0.0
2013-09-15,0.0
2013-09-16,0.0
2013-09-17,44.725
2013-09-18,18.85
2013-09-19,0.425
2013-09-20,0.2
2013-09-21,1.45
2013-09-22,37.525
2013-09-23,61.325
2013-09-24,1.125
2013-09-25,1.275
2013-09-26,0.0
2013-09-27,0.0
2013-09-28,0.0
2013-09-29,7.175000000000001
2013-09-30,1.0750000000000002
2013-10-01,4.2
2013-10-02,4.550000000000001
2013-10-03,10.125
2013-10-04,34.1
2013-10-05,1.725
2013-10-06,0.0
2013-10-07,0.825
2013-10-08,2.0
2013-10-09,0.0
2013-10-10,0.0
2013-10-11,0.025
2013-10-12,0.0
2013-10-13,0.0
2013-10-14,0.05
2013-10-15,3.9499999999999997
2013-10-16,0.1
2013-10-17,10.674999999999999
2013-10-18,0.675
2013-10-19,0.37500000000000006
2013-10-20,0.05
2013-10-21,0.0
2013-10-22,18.05
2013-10-23,0.45
2013-10-24,0.175
2013-10-25,9.049999999999999
2013-10-26,0.9000000000000001
2013-10-27,0.75
2013-10-28,2.5999999999999996
2013-10-29,0.1
2013-10-30,0.0
2013-10-31,0.025
2013-11-01,1.0
2013-11-02,0.35
2013-11-03,0.025
2013-11-04,11.825
2013-11-05,2.0000000000000004
2013-11-06,0.8
2013-11-07,2.15
2013-11-08,1.875
2013-11-09,0.275
2013-11-10,0.025
2013-11-11,0.25
2013-11-12,2.475
2013-11-13,0.675
2013-11-14,0.0
2013-11-15,0.0
2013-11-16,0.0
2013-11-17,25.125
2013-11-18,2.725
2013-11-19,0.025
2013-11-20,1.4249999999999998
2013-11-21,4.1
2013-11-22,2.1
2013-11-23,2.25
2013-11-24,1.05
2013-11-25,4.1
2013-11-26,1.9
2013-11-27,3.175
2013-11-28,0.5249999999999999
2013-11-29,14.100000000000001
2013-11-30,6.2
2013-12-01,0.6250000000000001
2013-12-02,0.17500000000000002
2013-12-03,1.1
2013-12-04,0.05
2013-12-05,0.1
2013-12-06,14.225000000000001
2013-12-07,0.1
2013-12-08,5.45
2013-12-09,0.15000000000000002
2013-12-10,2.0749999999999997
2013-12-11,0.1
2013-12-12,2.95
2013-12-13,1.225
2013-12-14,0.05
2013-12-15,3.5
2013-12-16,2.5250000000000004
2013-12-17,0.0
2013-12-18,0.65
2013-12-19,1.7
2013-12-20,1.1500000000000001
2013-12-21,1.9000000000000001
2013-12-22,3.65
2013-12-23,5.525
2013-12-24,1.375
2013-12-25,0.125
2013-12-26,0.0
2013-12-27,0.025
2013-12-28,1.175
2013-12-29,9.85
2013-12-30,1.625
2013-12-31,1.4999999999999998
2014-01-01,0.9272727272727274
2014-01-02,24.818181818181817
2014-01-03,1.4
2014-01-04,11.07272727272727
2014-01-05,4.5636363636363635
2014-01-06,0.4
2014-01-07,4.381818181818182
2014-01-08,1.0363636363636364
2014-01-09,14.490909090909089
2014-01-10,0.7454545454545454
2014-01-11,0.07272727272727274
2014-01-12,4.581818181818182
2014-01-13,43.69090909090909
2014-01-14,7.618181818181819
2014-01-15,3.163636363636364
2014-01-16,17.14545454545454
2014-01-17,21.10909090909091
2014-01-18,0.23636363636363641
2014-01-19,0.05454545454545456
2014-01-20,0.018181818181818184
2014-01-21,0.018181818181818184
2014-01-22,2.4545454545454546
2014-01-23,1.654545454545454
2014-01-24,0.10909090909090909
2014-01-25,4.163636363636364
2014-01-26,1.5999999999999999
2014-01-27,1.6181818181818182
2014-01-28,0.018181818181818184
2014-01-29,0.0
2014-01-30,3.4181818181818175
2014-01-31,0.34545454545454546
2014-02-01,0.05454545454545456
2014-02-02,0.018181818181818184
2014-02-03,0.0
2014-02-04,2.771428571428572
2014-02-05,7.090909090909091
2014-02-06,0.723076923076923
2014-02-07,0.04615384615384616
2014-02-08,0.06153846153846154
2014-02-09,7.584615384615384
2014-02-10,0.07692307692307693
2014-02-11,0.0
2014-02-12,0.03076923076923077
2014-02-13,0.4461538461538461
2014-02-14,9.83076923076923
2014-02-15,21.846153846153847
2014-02-16,5.6
2014-02-17,9.538461538461537
2014-02-18,8.73846153846154
2014-02-19,8.584615384615384
2014-02-20,0.3384615384615385
2014-02-21,0.015384615384615385
2014-02-22,0.03076923076923077
2014-02-23,6.000000000000001
2014-02-24,5.676923076923078
2014-02-25,3.738461538461539
2014-02-26,1.6000000000000003
2014-02-27,1.1384615384615384
2014-02-28,17.56923076923077
2014-03-01,5.6923076923076925
2014-03-02,0.06153846153846154
2014-03-03,0.0
2014-03-04,0.44615384615384623
2014-03-05,14.753846153846155
2014-03-06,8.138461538461538
2014-03-07,0.04615384615384616
2014-03-08,4.046153846153846
2014-03-09,5.538461538461538
2014-03-10,17.63076923076923
2014-03-11,0.04615384615384616
2014-03-12,18.661538461538463
2014-03-13,11.461538461538462
2014-03-14,25.96923076923077
2014-03-15,0.03076923076923077
2014-03-16,0.29230769230769227
2014-03-17,0.5538461538461539
2014-03-18,3.0615384615384618
2014-03-19,8.553846153846155
2014-03-20,3.907692307692308
2014-03-21,7.107692307692308
2014-03-22,8.676923076923076
2014-03-23,0.7846153846153846
2014-03-24,0.03076923076923077
2014-03-25,0.04615384615384616
2014-03-26,0.8923076923076921
2014-03-27,0.46153846153846156
2014-03-28,0.4307692307692308
2014-03-29,0.015384615384615385
2014-03-30,0.0
2014-03-31,9.323076923076922
2014-04-01,4.953846153846153
2014-04-02,0.3230769230769231
2014-04-03,3.7692307692307687
2014-04-04,15.569230769230769
2014-04-05,3.5230769230769234
2014-04-06,0.12307692307692307
2014-04-07,0.0
2014-04-08,0.03076923076923077
2014-04-09,0.9384615384615385
2014-04-10,8.661538461538461
2014-04-11,0.04615384615384616
2014-04-12,0.0
2014-04-13,20.44615384615384
2014-04-14,0.20000000000000004
2014-04-15,0.20000000000000004
2014-04-16,17.000000000000004
2014-04-17,0.38461538461538464
2014-04-18,0.03076923076923077
2014-04-19,1.4923076923076921
2014-04-20,4.553846153846154
2014-04-21,0.20000000000000004
2014-04-22,0.03076923076923077
2014-04-23,1.2153846153846153
2014-04-24,1.3076923076923077
2014-04-25,0.13846153846153844
2014-04-26,0.1846153846153846
2014-04-27,0.03076923076923077
2014-04-28,0.5230769230769231
2014-04-29,2.646153846153846
2014-04-30,0.06153846153846154
2014-05-01,0.24615384615384617
2014-05-02,1.3538461538461537
2014-05-03,0.03076923076923077
2014-05-04,0.0
2014-05-05,0.0
2014-05-06,0.0923076923076923
2014-05-07,0.07692307692307693
2014-05-08,0.06153846153846154
2014-05-09,0.2923076923076923
2014-05-10,0.03076923076923077
2014-05-11,1.0769230769230769
2014-05-12,1.5230769230769232
2014-05-13,0.0923076923076923
2014-05-14,0.0
2014-05-15,4.246153846153846
2014-05-16,0.06153846153846154
2014-05-17,2.2615384615384615
2014-05-18,0.015384615384615385
2014-05-19,0.0
2014-05-20,0.03076923076923077
2014-05-21,0.06153846153846154
2014-05-22,0.06153846153846154
2014-05-23,14.523076923076925
2014-05-24,23.569230769230767
2014-05-25,2.6769230769230767
2014-05-26,13.107692307692306
2014-05-27,21.96923076923077
2014-05-28,0.27692307692307694
2014-05-29,0.04615384615384616
2014-05-30,0.04615384615384616
2014-05-31,0.015384615384615385
2014-06-01,8.692307692307692
2014-06-02,2.523076923076923
2014-06-03,0.06153846153846154
2014-06-04,0.07692307692307693
2014-06-05,0.06153846153846154
2014-06-06,3.9230769230769225
2014-06-07,35.8
2014-06-08,96.63076923076923
2014-06-09,35.292307692307695
2014-06-10,0.676923076923077
2014-06-11,0.12307692307692308
2014-06-12,0.5384615384615385
2014-06-13,0.13846153846153847
2014-06-14,0.04615384615384616
2014-06-15,0.0923076923076923
2014-06-16,0.9076923076923076
2014-06-17,0.04615384615384616
2014-06-18,0.0923076923076923
2014-06-19,17.87692307692308
2014-06-20,0.13846153846153844
2014-06-21,0.03076923076923077
2014-06-22,0.0
2014-06-23,0.03076923076923077
2014-06-24,0.0
2014-06-25,0.0
2014-06-26,0.2307692307692308
2014-06-27,0.1692307692307692
2014-06-28,0.015384615384615385
2014-06-29,12.907692307692306
2014-06-30,7.553846153846153
2014-07-01,0.0923076923076923
2014-07-02,0.3384615384615385
2014-07-03,0.676923076923077
2014-07-04,0.38461538461538464
2014-07-05,0.16923076923076924
2014-07-06,0.49230769230769234
2014-07-07,0.4
2014-07-08,3.753846153846154
2014-07-09,1.169230769230769
2014-07-10,0.6307692307692307
2014-07-11,1.8615384615384616
2014-07-12,0.06153846153846154
2014-07-13,0.7846153846153846
2014-07-14,0.13846153846153847
2014-07-15,0.0923076923076923
2014-07-16,0.015384615384615385
2014-07-17,0.0
2014-07-18,5.16923076923077
2014-07-19,10.646153846153847
2014-07-20,0.03076923076923077
2014-07-21,0.015384615384615385
2014-07-22,0.0
2014-07-23,0.15384615384615383
2014-07-24,0.0923076923076923
2014-07-25,19.907692307692308
2014-07-26,0.23076923076923078
2014-07-27,0.0
2014-07-28,0.2153846153846154
2014-07-29,0.18461538461538465
2014-07-30,0.35384615384615387
2014-07-31,1.1384615384615384
2014-08-01,0.38461538461538464
2014-08-02,0.0
2014-08-03,0.4461538461538461
2014-08-04,0.0
2014-08-05,0.2923076923076923
2014-08-06,0.015384615384615385
