,codigo,tipoId,nome,coletaId,orgaoId,municipioId,altitude,latitude,longitude,iniciooperacao,datainstalacao,fimoperacao,orgao
1192,25384933,P,CURITIBA - Santa Felicidade,T,86.0,4106902.0,,-25.382,-49.332,2014-12-14,2014-12-14T16:16:15+0000,,CEMADEN
1193,25424934,P,CURITIBA - São Braz,T,86.0,4106902.0,,-25.417,-49.342,2014-12-12,2015-02-06T16:38:46+0000,,CEMADEN
1194,25564928,P,CURITIBA - Umbará,T,86.0,4106902.0,,-25.555,-49.284,2015-02-05,2015-02-06T16:38:41+0000,,CEMADEN
1195,25414930,P,CURITIBA - Vista Alegre,T,86.0,4106902.0,,-25.413,-49.301,2014-12-12,2014-12-12T14:15:36+0000,,CEMADEN
1313,25674931,P,FAZENDA RIO GRANDE - Gralha Azul,T,86.0,4107652.0,,-25.67292,-49.30737,2016-02-21,2016-02-18T22:15:04+0000,2020-04-07,CEMADEN
1314,25654931,P,FAZENDA RIO GRANDE - Nações,T,86.0,4107652.0,,-25.64902,-49.30742,2016-02-21,2016-02-18T22:15:04+0000,,CEMADEN
1783,25224935,P,ITAPERUÇU - Centro,T,86.0,4111258.0,,-25.219,-49.351,2014-07-25,2014-08-08T12:24:21+0000,,CEMADEN
1784,25214934,P,ITAPERUÇU- Jardim Itau,T,86.0,4111258.0,,-25.213,-49.335,2014-07-25,2014-08-08T12:24:23+0000,2020-04-07,CEMADEN
2881,25444920,P,PINHAIS - Estância Pinhais,T,86.0,4119152.0,,-25.438,-49.199,2014-07-25,2014-08-08T12:24:22+0000,2020-04-07,CEMADEN
2882,25404919,P,PINHAIS- Jardim Atuba,T,86.0,4119152.0,,-25.4,-49.193,2014-07-25,2014-08-08T12:24:20+0000,,CEMADEN
2883,25404918,P,PINHAIS- Jardim Claudia,T,86.0,4119152.0,,-25.4,-49.18,2014-07-25,2014-08-08T12:24:25+0000,2018-08-29,CEMADEN
2884,25444916,P,PINHAIS- Maria Antonieta,T,86.0,4119152.0,,-25.442,-49.165,2014-07-25,2014-08-08T12:24:22+0000,,CEMADEN
2885,25394919,P,PINHAIS- Perdizes,T,86.0,4119152.0,,-25.394,-49.19,2014-07-25,2014-08-08T12:24:24+0000,,CEMADEN
2886,25434918,P,PINHAIS- Pineville,T,86.0,4119152.0,,-25.431,-49.176,2014-07-25,2014-08-08T12:24:23+0000,2020-04-07,CEMADEN
2887,25464919,P,PINHAIS- Weissópolis,T,86.0,4119152.0,,-25.462,-49.187,2014-07-25,2014-08-08T12:24:21+0000,,CEMADEN
2912,25474906,P,PIRAQUARA - Horto Municipal,T,86.0,4119509.0,,-25.472,-49.058,2014-07-25,2014-08-08T12:24:22+0000,,CEMADEN
2913,25454910,P,PIRAQUARA - Jardim Santa Mônica,T,86.0,4119509.0,,-25.45,-49.101,2014-07-25,2014-08-08T12:24:18+0000,,CEMADEN
2914,25464915,P,PIRAQUARA - Vila Mariana,T,86.0,4119509.0,,-25.46,-49.147,2014-07-25,2014-08-08T12:24:20+0000,,CEMADEN
3130,25194931,P,RIO BRANCO DO SUL - Centro,T,86.0,4122206.0,,-25.193,-49.313,2014-07-25,2014-08-08T12:24:19+0000,2020-04-07,CEMADEN
3131,25204932,P,RIO BRANCO DO SUL - Centro II,T,86.0,4122206.0,,-25.205,-49.324,2014-07-25,2014-08-08T12:24:19+0000,,CEMADEN
3132,25174931,P,RIO BRANCO DO SUL - Rio Branco do Sul l,T,86.0,4122206.0,,-25.167,-49.309,2014-07-25,2014-08-08T12:24:24+0000,,CEMADEN
3592,25504918,P,SÃO JOSÉ DOS PINHAIS- Afonso Pena,T,86.0,4125506.0,906.0,-25.503,-49.18,2014-07-25,2014-08-08T12:24:21+0000,,CEMADEN
3593,25544909,P,SÃO JOSÉ DOS PINHAIS - Borda do Campo,T,86.0,4125506.0,906.0,-25.537,-49.091,2015-02-05,2015-02-06T16:38:49+0000,,CEMADEN
3594,25674918,P,SÃO JOSÉ DOS PINHAIS - Campo Largo da Roseira,T,86.0,4125506.0,906.0,-25.674,-49.182,2014-07-25,2014-08-08T12:24:25+0000,2020-04-07,CEMADEN
3595,25534921,P,SÃO JOSÉ DOS PINHAIS- Centro,T,86.0,4125506.0,906.0,-25.534,-49.206,2014-07-25,2014-08-08T12:24:21+0000,,CEMADEN
3596,25484915,P,SÃO JOSÉ DOS PINHAIS- Guatupé,T,86.0,4125506.0,906.0,-25.484,-49.148,2014-07-27,2014-08-08T12:35:11+0000,2020-04-06,CEMADEN
3597,25554916,P,SÃO JOSÉ DOS PINHAIS - Quississana,T,86.0,4125506.0,906.0,-25.548,-49.156,2014-07-25,2014-08-08T12:24:18+0000,,CEMADEN
3598,25614917,P,SÃO JOSÉ DOS PINHAIS - São Marcos,T,86.0,4125506.0,906.0,-25.606,-49.169,2014-07-25,2014-08-08T12:24:23+0000,,CEMADEN
3599,25554920,P,SÃO JOSÉ DOS PINHAIS - São Pedro,T,86.0,4125506.0,906.0,-25.55,-49.196,2014-07-25,2014-08-08T12:24:20+0000,,CEMADEN
4301,25254856,H,Barragem UHE Marumbi,T,1.0,4116208.0,707.0,-25.4296,-48.9489,2008-11-21,2008-11-21T00:00:00+0000,,SIMEPAR
4308,25134856,H,Capivari Montante,T,1.0,4104006.0,819.0,-25.2208,-48.9395,2000-03-21,2000-03-21T00:00:00+0000,,SIMEPAR
4319,25424858,H,Guaricana,T,1.0,4125506.0,709.79,-25.7114,-48.9828,1997-06-01,1997-06-01T00:00:00+0000,,SIMEPAR
4328,25334953,H,Porto Amazonas,T,1.0,4120101.0,0.0,-25.55,-49.8833,1997-06-01,1997-06-01T00:00:00+0000,,SIMEPAR
4356,25464917,H,Canal Água Limpa,T,7.0,4119509.0,21.0,-25.46167,-49.17089,2023-02-07,2023-02-07T13:08:51+0000,,SANEPAR
4360,25424911,H,Reservatório Iraí,T,7.0,4119509.0,,-25.42566,-49.1129,2015-01-01,2021-01-22T20:52:40+0000,,SANEPAR
4361,25534939,H,Reservatório Passaúna,T,7.0,4101804.0,,-25.53133,-49.39117,2015-01-01,2021-01-26T13:49:03+0000,,SANEPAR
4362,25504902,H,Reservatório Piraquara I,T,7.0,4119509.0,,-25.50607,-49.02783,2015-01-01,2021-01-22T20:59:17+0000,,SANEPAR
4363,25484909,H,Reservatório Piraquara II,T,7.0,4119509.0,,-25.48855,-49.09388,2015-01-01,2021-01-22T21:09:21+0000,,SANEPAR
4365,25264907,H,Rio Iraí,T,7.0,4119509.0,,-25.44119,-49.13267,2023-04-14,2023-04-14T11:30:00+0000,,SANEPAR
4373,25604939,H,Araucária,T,84.0,4101804.0,869.0,-25.60161,-49.39793,2016-07-04,,,IAT
4374,25474924,H,Arauco / PUC,T,84.0,4106902.0,,-25.47068,-49.24675,2013-09-08,2013-08-29T00:00:00+0000,2015-08-21,IAT
4375,25444919,H,Autódromo,T,84.0,4119152.0,,-25.44682,-49.19791,2015-09-18,,,IAT
4378,25584963,H,Balsa Nova,T,84.0,4102307.0,865.0,-25.58722,-49.63189,2014-02-04,,,IAT
4381,25594922,H,Cachoeira,T,84.0,4125506.0,906.0,-25.59018,-49.22866,2013-08-29,2013-08-29T00:00:00+0000,,IAT
4387,25524921,H,Cidade Jardim,T,84.0,4125506.0,906.0,-25.52456,-49.21472,2013-08-29,2013-08-29T00:00:00+0000,2016-06-14,IAT
4390,25484918,H,Comp.  C. Água Limpa,T,84.0,4125506.0,906.0,-25.48581,-49.18133,2013-09-08,2013-08-29T00:00:00+0000,,IAT
4393,25324916,H,Embrapa,T,84.0,4105805.0,,-25.3225,-49.16233,2016-02-25,,,IAT
4399,25514921,H,ETE- Sanepar,T,84.0,4106902.0,877.0,-25.51781,-49.21279,2016-06-27,,,IAT
4402,25514914,H,Fazendinha,T,84.0,4125506.0,906.0,-25.5192,-49.14685,2013-07-14,2013-06-25T00:00:00+0000,,IAT
4403,25534954,H,Formigas,T,84.0,4101804.0,897.0,-25.53778,-49.54439,2014-02-20,,2021-11-23,IAT
4409,25604951,H,Guajuvira,T,84.0,4101804.0,897.0,-25.60021,-49.5134,2013-07-10,2013-06-25T00:00:00+0000,,IAT
4410,25464925,H,Horto Municipal,T,84.0,4106902.0,,-25.463,-49.2506,2017-05-15,,2021-05-05,IAT
4416,25544941,H,Olaria Pioli,T,84.0,4125506.0,906.0,-25.5474,-49.41009,2016-03-23,,,IAT
4419,25454917,H,Pinhais,T,84.0,4119152.0,,-25.454,-49.17154,2015-10-06,,2020-06-15,IAT
4420,25484919,H,Ponte BR 277,T,84.0,4106902.0,,-25.48353,-49.19011,2016-05-18,,,IAT
4421,25424938,H,Ponte BR 277 Campo Largo,T,84.0,4104204.0,,-25.42697,-49.38794,2016-06-13,,,IAT
4422,25614935,H,Ponte Da Caximba,T,84.0,4106902.0,,-25.61096,-49.3572,2014-02-04,2014-01-01T03:00:00+0000,2016-06-26,IAT
4423,25234959,H,Ponte Do Açungui,T,84.0,4104204.0,,-25.23556,-49.59633,2014-02-04,2014-01-01T03:00:00+0000,,IAT
4425,25594926,H,Ponte Do Umbarazinho,T,84.0,4125506.0,906.0,-25.59859,-49.26004,2013-09-08,2013-08-29T00:00:00+0000,,IAT
4426,25454912,H,Ponte PR 415,T,84.0,4119509.0,,-25.45058,-49.12135,2014-01-01,2013-06-25T00:00:00+0000,,IAT
4440,25474932,H,Santa Quitéria,T,84.0,4106902.0,,-25.47175,-49.32372,2017-05-15,2017-05-15T13:29:44+0000,,IAT
4497,25464952,H,CAMPO LARGO - Rio Cambui,T,86.0,4104204.0,,-25.4556,-49.5204,2017-01-01,2017-05-05T11:52:50+0000,,CEMADEN
4762,25264916,M,Curitiba,T,1.0,4106902.0,935.0,-25.44817,-49.23033,1997-06-01,1997-06-01T03:00:00+0000,,SIMEPAR
4764,25654927,M,Fazenda Gralha Azul-PUC,T,1.0,4107652.0,911.73,-25.65457,-49.27852,2009-09-03,2009-09-03T00:00:00+0000,,SIMEPAR
4775,25474946,M,Lapa,T,1.0,4113205.0,909.8,-25.7817,-49.7598,1997-06-01,1997-06-01T03:00:00+0000,,SIMEPAR
4789,25254905,M,Pinhais,T,1.0,4119152.0,930.0,-25.3907,-49.1299,1998-07-10,1998-07-10T20:00:00+0000,,SIMEPAR
4815,25784977,M,Lapa,T,3.0,4113205.0,903.0,-25.78212,-49.76035,2015-08-01,,,IAPAR
4980,25324915,M,Colombo,T,4.0,4105805.0,950.0,-25.32246,-49.15773,2016-05-28,2016-11-17T18:18:51+0000,,INMET
5004,25264913,M,Curitiba,T,4.0,4106902.0,922.91,-25.44869,-49.2306,2003-01-28,2003-01-28T00:00:00+0000,,INMET
