field_1,codigo,tipoId,nome,coletaId,orgaoId,municipioId,altitude,latitude,longitude,iniciooperacao,datainstalacao,fimoperacao,orgao,cordy,cordx
"1188","25494929",P,CURITIBA- Escola Municipal M. Clara B. Tesserolli,T,86,4106902,,-25.4877,-49.288,2015/02/23,2015/02/23 14:15:14,2020/04/07,CEMADEN,7179941.60,672085.49
"1190","25384930",P,CURITIBA - Pilarzinho,T,86,4106902,,-25.38,-49.295,2014/12/12,2015/02/06 16:38:45,,CEMADEN,7191880.16,671534.24
"1191","25444935",P,CURITIBA - Santa Felicidade,T,86,4106902,,-25.435,-49.35,2015/02/05,2015/02/06 16:38:52,,CEMADEN,7185857.61,665924.60
"1192","25384933",P,CURITIBA - Santa Felicidade,T,86,4106902,,-25.382,-49.332,2014/12/14,2014/12/14 16:16:15,,CEMADEN,7191705.61,667808.36
"1193","25424934",P,CURITIBA - São Braz,T,86,4106902,,-25.417,-49.342,2014/12/12,2015/02/06 16:38:46,,CEMADEN,7187841.39,666754.00
"1194","25564928",P,CURITIBA - Umbará,T,86,4106902,,-25.555,-49.284,2015/02/05,2015/02/06 16:38:41,,CEMADEN,7172481.74,672391.41
"1195","25414930",P,CURITIBA - Vista Alegre,T,86,4106902,,-25.413,-49.301,2014/12/12,2014/12/12 14:15:36,,CEMADEN,7188232.58,670883.99
"1313","25674931",P,FAZENDA RIO GRANDE - Gralha Azul,T,86,4107652,,-25.67292,-49.30737,2016/02/21,2016/02/18 22:15:04,2020/04/07,CEMADEN,7159450.09,669876.34
"1314","25654931",P,FAZENDA RIO GRANDE - Nações,T,86,4107652,,-25.64902,-49.30742,2016/02/21,2016/02/18 22:15:04,,CEMADEN,7162097.53,669905.19
"1783","25224935",P,ITAPERUÇU - Centro,T,86,4111258,,-25.219,-49.351,2014/07/25,2014/08/08 12:24:21,,CEMADEN,7209783.61,666118.66
"1784","25214934",P,ITAPERUÇU- Jardim Itau,T,86,4111258,,-25.213,-49.335,2014/07/25,2014/08/08 12:24:23,2020/04/07,CEMADEN,7210428.31,667739.00
"2881","25444920",P,PINHAIS - Estância Pinhais,T,86,4119152,,-25.438,-49.199,2014/07/25,2014/08/08 12:24:22,2020/04/07,CEMADEN,7185328.80,681107.77
"2882","25404919",P,PINHAIS- Jardim Atuba,T,86,4119152,,-25.4,-49.193,2014/07/25,2014/08/08 12:24:20,,CEMADEN,7189529.89,681768.25
"2883","25404918",P,PINHAIS- Jardim Claudia,T,86,4119152,,-25.4,-49.18,2014/07/25,2014/08/08 12:24:25,2018/08/29,CEMADEN,7189512.13,683076.22
"2884","25444916",P,PINHAIS- Maria Antonieta,T,86,4119152,,-25.442,-49.165,2014/07/25,2014/08/08 12:24:22,,CEMADEN,7184839.09,684521.43
"2885","25394919",P,PINHAIS- Perdizes,T,86,4119152,,-25.394,-49.19,2014/07/25,2014/08/08 12:24:24,,CEMADEN,7190190.42,682079.10
"2886","25434918",P,PINHAIS- Pineville,T,86,4119152,,-25.431,-49.176,2014/07/25,2014/08/08 12:24:23,2020/04/07,CEMADEN,7186072.75,683431.74
"2887","25464919",P,PINHAIS- Weissópolis,T,86,4119152,,-25.462,-49.187,2014/07/25,2014/08/08 12:24:21,,CEMADEN,7182653.95,682278.58
"2912","25474906",P,PIRAQUARA - Horto Municipal,T,86,4119509,,-25.472,-49.058,2014/07/25,2014/08/08 12:24:22,,CEMADEN,7181363.37,695235.10
"2913","25454910",P,PIRAQUARA - Jardim Santa Mônica,T,86,4119509,,-25.45,-49.101,2014/07/25,2014/08/08 12:24:18,,CEMADEN,7183862.76,690945.90
