hordatahora,horleitura,ls_sim
2013-01-01,88.70762222222221,106.317
2013-01-02,98.6390625,100.538
2013-01-03,105.6921875,93.497
2013-01-04,109.14375,80.1386
2013-01-05,108.47395833333331,67.5907
2013-01-06,106.15729166666668,57.3011
2013-01-07,102.8484375,55.5354
2013-01-08,97.2229411764706,51.436
2013-01-09,90.9134375,58.61
2013-01-10,80.66425531914894,61.7003
2013-01-11,64.74907291666666,57.5791
2013-01-12,51.39202083333333,52.6258
2013-01-13,42.98616666666666,47.3827
2013-01-14,38.31601041666666,47.4665
2013-01-15,36.60427083333334,56.4327
2013-01-16,41.80439583333334,58.7526
2013-01-17,47.376875000000005,61.6418
2013-01-18,41.85836458333333,62.1193
2013-01-19,45.61782291666666,70.333
2013-01-20,46.50346875,67.713
2013-01-21,48.5654375,66.3915
2013-01-22,49.509687500000005,67.4632
2013-01-23,41.2730625,64.4848
2013-01-24,34.4353125,58.8197
2013-01-25,30.6309375,52.5515
2013-01-26,29.02959375,48.7244
2013-01-27,28.67434375,43.7238
2013-01-28,27.248218750000003,38.947
2013-01-29,24.18828125,34.082
2013-01-30,22.4625,29.536
2013-01-31,21.65234375,25.5092
2013-02-01,20.5625,21.9076
2013-02-02,19.87421875,39.1333
2013-02-03,19.278125,78.354
2013-02-04,24.37648958333333,95.3106
2013-02-05,58.07114583333333,94.1487
2013-02-06,69.9951875,91.3025
2013-02-07,71.22125,100.55
2013-02-08,73.55978125,122.345
2013-02-09,89.70284375,129.779
2013-02-10,94.97708333333333,133.468
2013-02-11,100.09427083333333,138.854
2013-02-12,105.21302083333336,140.055
2013-02-13,106.24166666666667,136.673
2013-02-14,105.15364583333331,128.937
2013-02-15,102.7171875,124.519
2013-02-16,100.70885416666664,117.146
2013-02-17,97.00625,119.293
2013-02-18,95.175,135.746
2013-02-19,99.31354166666668,161.873
2013-02-20,100.1078125,167.688
2013-02-21,99.03854166666667,165.885
2013-02-22,101.840625,153.76
2013-02-23,105.30677083333336,140.759
2013-02-24,107.68229166666669,125.396
2013-02-25,108.5421875,110.51
2013-02-26,107.5921875,113.662
2013-02-27,111.47916666666669,134.317
2013-02-28,107.503125,125.527
2013-03-01,101.44791666666669,116.9
2013-03-02,99.02447916666668,106.031
2013-03-03,96.125,94.228
2013-03-04,88.7389375,82.7426
2013-03-05,73.64105208333334,79.9409
2013-03-06,63.4496875,94.1363
2013-03-07,62.5689375,99.0251
2013-03-08,76.79571875,98.582
2013-03-09,81.11914583333333,94.9806
2013-03-10,83.23420833333334,96.5266
2013-03-11,98.7125,91.768
2013-03-12,95.7,90.1058
2013-03-13,87.64709375,112.33
2013-03-14,142.678,156.198
2013-03-15,140.975,152.542
2013-03-16,123.1234375,151.012
2013-03-17,117.63229166666667,154.914
2013-03-18,117.80729166666669,145.67
2013-03-19,115.03385416666669,133.316
2013-03-20,112.434375,123.495
2013-03-21,111.64479166666666,117.031
2013-03-22,112.71197916666668,105.725
2013-03-23,109.3828125,94.8462
2013-03-24,105.2078125,91.0435
2013-03-25,103.22447916666664,101.528
2013-03-26,104.09895833333331,94.8731
2013-03-27,99.59583333333336,92.396
2013-03-28,97.48541666666668,85.9109
2013-03-29,92.59425,79.2737
2013-03-30,85.31377083333334,74.8336
2013-03-31,76.31922916666666,68.2324
2013-04-01,67.62228125,61.2718
2013-04-02,60.508156250000006,55.6592
2013-04-03,57.04059375,56.8106
2013-04-04,56.65228125,56.448
2013-04-05,58.50414583333333,70.9525
2013-04-06,89.89631250000001,86.1109
2013-04-07,90.69642708333332,82.1935
2013-04-08,88.35893750000001,77.1388
2013-04-09,86.04859375000001,71.4209
2013-04-10,80.1744375,64.7751
2013-04-11,71.03486458333333,57.9527
2013-04-12,61.64925,58.934
2013-04-13,60.32908333333333,74.9775
2013-04-14,77.14102083333333,76.6112
2013-04-15,83.85294791666666,71.7962
2013-04-16,85.72340625,66.1311
2013-04-17,81.82241666666667,60.0915
2013-04-18,73.98255208333333,53.8855
2013-04-19,64.06954166666667,48.0233
2013-04-20,54.995020833333335,42.4504
2013-04-21,48.8971875,37.3943
2013-04-22,44.087854166666666,32.7416
2013-04-23,40.21817708333334,28.5764
2013-04-24,37.5721875,26.0338
2013-04-25,36.57902083333333,23.7516
2013-04-26,35.3628125,21.2204
2013-04-27,34.61051041666666,18.7354
2013-04-28,34.43809375,16.5502
2013-04-29,33.39953125,14.7189
2013-04-30,32.06009375,13.3848
2013-05-01,31.1493125,12.3555
2013-05-02,30.56025,11.5437
2013-05-03,30.05728125,10.8514
2013-05-04,29.78178125,10.3328
2013-05-05,29.5180625,13.9924
2013-05-06,29.04953125,26.5953
2013-05-07,29.8715,27.0457
2013-05-08,34.460427083333336,25.9849
2013-05-09,36.49309375,24.8154
2013-05-10,33.30528125,23.4311
2013-05-11,31.2580625,21.8645
2013-05-12,29.36128125,20.1213
2013-05-13,27.5533125,18.4111
2013-05-14,26.4475,17.1543
2013-05-15,26.09925806451613,15.8605
2013-05-16,26.83103125,18.3028
2013-05-17,28.93534375,28.7957
2013-05-18,39.787,30.0698
2013-05-19,46.00788541666666,28.9544
2013-05-20,40.16767708333334,27.9127
2013-05-21,34.583333333333336,26.8303
2013-05-22,31.834437500000003,26.5533
2013-05-23,31.1058125,33.0154
2013-05-24,34.8173125,33.5262
2013-05-25,44.20823958333333,32.0547
2013-05-26,39.3144375,30.2824
2013-05-27,34.688520833333335,28.5343
2013-05-28,31.9431875,40.2642
2013-05-29,35.51501041666666,65.7404
2013-05-30,56.43602083333334,81.7673
