,ParameterName,MinValue,MaxValue,DefaultValue,tipo
0,UpperZoneTimeConstant,0.01,40.0,6.715932079681986,xml
1,LowerZoneTimeConstant,40.0,1000.0,106.92657520111491,xml
2,GwPercValue,0.01,5.0,0.06101612215202301,xml
7,CalChanMan,0.5,5.0,4.998410315644647,xml
8,GwLoss,0.0,0.5,0.004202493046361697,xml
9,thetar1,0.0,1.0,0.444991175322574,xml
10,thetar2,0.0,0.6,0.36378825812988247,xml
11,thetar3,0.0,1.0,0.9865054068924979,xml
