,0.5328766459959831
0,13.181931475041338
1,8324.965274655791
2,1.8718720376502564
3,5.150858953212648
4,2.2073691196080976
5,4.335351518996026
6,5.170998299670579
7,1.2911944590062097
8,2.540107743298807
9,1.6426455350005487
10,0.7818293825309335
11,0.5072336040076455
12,53.201335404305745
13,6.77228492884649
14,3.5657115088237687
15,4.205050364936573
16,1.9163378883193691
17,0.21913054874816176
18,0.8314310074027135
19,1.0748445518494671
20,1.2907280780635535
21,1.425071091063943
22,1.4142122294555994
23,1.742183859215046
24,0.9048978002371528
25,0.6614097771535314
26,0.8953953818382752
27,1.565179125888476
28,1.9960634946494835
29,1.690074846630029
30,0.8212319701069717
31,1.1532596041648553
32,1.4355833517121905
