,elvstd,chanlength,chan,chanbw,changrad,avgdis,lat,gradient,chanflpn,chanman,chanbnkf,soildepth1_o,cropcoef_i,soildepth1_f,soildepth2_i,soildepth3_o,cropgrpn_f,mannings_o,soildepth3_i,soildepth2_f,mannings_f,cropgrpn_i,soildepth2_o,soildepth3_f,cropcoef_f,soildepth1_i,mannings_i,cropcoef_o,cropgrpn_o,n sei,es,ta,pr,e0,et,laif,laio,laii,genua2_o,thetar1_f,thetas3_o,thetar3_o,genua1_o,genua2_f,thetas3_f,thetar3_f,thetar1_o,thetas3,ksat2_o,lambda2,ksat3_f,thetas1,genua1_f,thetar2,genua3,lambda2_f,ksat2,lambda2_o,ksat3,ksat3_o,ksat1_o,thetas2,lambda3_o,thetar1,ksat1,thetas2_o,genua3_f,genua2,thetas1_f,lambda1,ksat1_f,thetar2_f,lambda1_o,thetar2_o,ksat2_f,genua1,lambda3_f,lambda1_f,thetar3,thetas2_f,genua3_o,lambda3,thetas1_o
10,27.9492,164.056,35.2871,40.1233,33.396,35.2871,35.2871,33.6564,35.2871,41.1809,46.1162,35.3506,35.2842,35.3072,35.2871,35.6799,35.2871,35.1379,35.2871,35.3276,35.2596,35.2871,35.3621,35.4159,35.2812,35.2871,35.2871,35.29,35.2871,35.2871,35.2871,34.9949,293.331,29.5877,35.2863,34.8892,35.0931,34.9158,35.2882,35.2871,35.2871,35.2871,35.286,35.2814,35.2871,35.2871,35.2871,35.9679,35.3116,35.2871,35.2871,35.2871,35.2862,61075.9,34.7331,35.288,35.2871,35.2997,36.0591,35.2871,35.2871,35.2871,35.2871,2879.57,35.2871,37.4838,35.2871,35.2871,36.3249,35.2871,35.2869,35.2871,35.2856,35.2871,35.3026,35.2871,35.2871,35.2859,333905.0,35.8856,35.2871,35.4615,39.021
11,24.7835,145.709,30.8137,35.3442,28.3004,30.8137,30.8137,29.447,30.8137,37.8313,39.3919,30.8758,30.8098,30.8332,30.8137,31.2455,30.8137,30.6748,30.8137,30.8547,30.787,30.8137,30.8976,30.9556,30.8079,30.8137,30.8137,30.8161,30.8137,30.8137,30.8137,30.6356,247.275,27.2268,30.81,30.4112,30.6181,30.4309,30.8128,30.8137,30.8137,30.8137,30.8125,30.8081,30.8137,30.8137,30.8137,31.5756,30.8373,30.8137,30.8137,30.8137,30.8128,61074.0,30.2597,30.8145,30.8137,30.8234,31.5184,30.8137,30.8137,30.8137,30.8137,2874.79,30.8137,31.0266,30.8137,30.8137,31.6019,30.8137,30.8134,30.8137,30.8121,30.8137,30.8287,30.8137,30.8137,30.8125,103503.0,30.9637,30.8137,30.9789,33.3481
12,22.9189,131.244,28.8083,32.8369,26.7637,28.8083,28.8083,28.1071,28.8083,36.2148,35.6249,28.8696,28.8039,28.8275,28.8083,29.2824,28.8083,28.6705,28.8083,28.8487,28.7808,28.8083,28.8937,28.9644,28.8027,28.8083,28.8083,28.8104,28.8083,28.8083,28.8083,29.6029,283.342,25.8518,28.8029,28.4103,28.6121,28.4265,28.8062,28.8083,28.8083,28.8083,28.8071,28.8029,28.8083,28.8083,28.8083,29.6592,28.8312,28.8083,28.8083,28.8083,28.8074,61075.3,28.2487,28.8092,28.8083,28.8162,29.4643,28.8083,28.8083,28.8083,28.8083,2876.27,28.8083,27.6128,28.8083,28.8083,29.5319,28.8083,28.8081,28.8083,28.8067,28.8083,28.8229,28.8083,28.8083,28.8071,333813.0,28.6225,28.8083,28.9666,30.9959
13,38.4604,134.824,50.7204,51.1149,54.334,50.7204,50.7204,55.1818,50.7204,52.0572,52.2078,50.7851,50.717,50.7404,50.7204,51.2757,50.7204,50.5192,50.7204,50.7572,50.6802,50.7204,50.7751,50.9034,50.7155,50.7204,50.7204,50.7229,50.7204,50.7204,50.7204,56.6983,681.568,36.0968,50.7183,50.2379,50.4931,50.2387,50.7199,50.7204,50.7204,50.7204,50.7192,50.7154,50.7204,50.7204,50.7204,51.7327,50.7443,50.7204,50.7204,50.7204,50.7195,61038.1,50.1106,50.7225,50.7204,50.7306,51.3845,50.7204,50.7204,50.7204,50.7204,2910.84,50.7204,55.857,50.7204,50.7204,52.2753,50.7204,50.7201,50.7204,50.7189,50.7204,50.7357,50.7204,50.7204,50.7192,210460.0,51.9644,50.7204,50.8843,56.3812
14,33.2129,122.583,49.0645,48.0346,51.5377,49.0645,49.0645,49.4979,49.0645,48.9893,48.9834,49.1282,49.0611,49.0841,49.0645,49.6634,49.0645,48.8412,49.0645,49.1017,49.0186,49.0645,49.1195,49.2622,49.0602,49.0645,49.0645,49.0671,49.0646,49.0645,49.0645,45.9417,494.527,37.1727,49.0624,48.5328,48.8162,48.553,49.0637,49.0645,49.0645,49.0645,49.0634,49.06,49.0645,49.0645,49.0645,50.1743,49.0878,49.0645,49.0645,49.0645,49.0637,61072.9,48.4504,49.0671,49.0645,49.074,49.687,49.0645,49.0645,49.0645,49.0645,2904.67,49.0645,52.9914,49.0645,49.0645,50.6521,49.0645,49.0643,49.0645,49.063,49.0645,49.0795,49.0645,49.0645,49.0634,337975.0,50.0244,49.0645,49.221,54.7713
15,38.2574,115.15,53.2486,51.2012,55.4948,53.2486,53.2486,54.0952,53.2486,50.6047,51.4852,53.3108,53.2452,53.2676,53.2486,53.8885,53.2486,52.9958,53.2486,53.2832,53.1955,53.2486,53.2904,53.4601,53.2449,53.2486,53.2486,53.2512,53.2487,53.2486,53.2486,53.3407,600.79,39.7902,53.2468,52.6521,52.9834,52.6603,53.2476,53.2486,53.2486,53.2486,53.2475,53.2446,53.2486,53.2486,53.2486,54.4542,53.2712,53.2486,53.2486,53.2486,53.2479,61102.9,52.6335,53.2517,53.2486,53.2575,53.8305,53.2486,53.2486,53.2486,53.2486,2908.23,53.2486,57.7701,53.2486,53.2486,55.063,53.2486,53.2484,53.2486,53.2472,53.2486,53.2632,53.2486,53.2486,53.2476,180416.0,54.3365,53.2486,53.3969,59.7703
16,33.9518,101.343,45.2859,44.253,44.9621,45.2859,45.2859,43.8823,45.2859,43.9403,44.662,45.3448,45.2819,45.3038,45.2859,45.9453,45.2859,45.0426,45.2859,45.3204,45.2325,45.2859,45.3372,45.504,45.2824,45.2859,45.2859,45.288,45.2859,45.2859,45.2859,44.226,429.571,37.1665,45.2822,44.638,45.0115,44.6639,45.2836,45.2859,45.2859,45.2859,45.2847,45.2821,45.2859,45.2859,45.2859,46.5494,45.3071,45.2859,45.2859,45.2859,45.2851,61097.8,44.6895,45.2888,45.2859,45.2926,45.8133,45.2859,45.2859,45.2859,45.2859,2896.64,45.2859,46.48,45.2859,45.2859,46.7416,45.2859,45.2856,45.2859,45.2844,45.2859,45.2997,45.2859,45.2859,45.2849,332754.0,45.6028,45.2859,45.4216,50.1479
17,46.9784,107.884,64.7356,61.9147,67.7585,64.7356,64.7356,67.9009,64.7356,58.7867,61.3301,64.7943,64.732,64.7533,64.7356,65.4481,64.7356,64.4287,64.7356,64.7639,64.668,64.7356,64.7505,64.9715,64.7328,64.7356,64.7356,64.7378,64.7356,64.7356,64.7356,66.3817,791.886,45.9462,64.7332,64.0463,64.4346,64.0619,64.7337,64.7356,64.7356,64.7356,64.7345,64.7323,64.7356,64.7356,64.7356,66.1229,64.7567,64.7356,64.7356,64.7356,64.7349,61061.2,64.1263,64.7392,64.7356,64.7426,65.2415,64.7356,64.7356,64.7356,64.7356,2924.16,64.7356,72.4226,64.7356,64.7356,67.0142,64.7356,64.7354,64.7356,64.7342,64.7356,64.7493,64.7356,64.7356,64.7347,251698.0,66.5496,64.7356,64.8665,72.8881
18,40.0328,93.876,53.627,51.7764,53.9369,53.627,53.627,52.1795,53.627,49.6341,51.8413,53.6828,53.6228,53.6437,53.627,54.3558,53.627,53.3308,53.627,53.6563,53.559,53.627,53.6572,53.8685,53.6243,53.627,53.627,53.6288,53.627,53.627,53.627,52.3107,528.166,42.8008,53.623,52.9098,53.3111,52.9434,53.624,53.627,53.627,53.627,53.6259,53.6239,53.627,53.627,53.627,55.0696,53.6469,53.627,53.627,53.627,53.6263,61090.3,53.0358,53.6304,53.627,53.6322,54.0885,53.627,53.627,53.627,53.627,2907.57,53.627,56.9831,53.627,53.627,55.4261,53.627,53.6268,53.627,53.6255,53.627,53.64,53.627,53.627,53.6261,331786.0,54.4712,53.627,53.7466,59.6272
19,37.844,86.0464,49.6592,49.2291,48.5404,49.6592,49.6592,48.5979,49.6592,47.2935,49.2674,49.7125,49.6547,49.6751,49.6592,50.4038,49.6592,49.3716,49.6592,49.6872,49.5907,49.6592,49.6927,49.9061,49.6567,49.6592,49.6592,49.6606,49.6592,49.6592,49.6592,49.5731,513.186,41.147,49.6538,48.9279,49.3397,48.9469,49.6552,49.6592,49.6592,49.6592,49.6581,49.6563,49.6592,49.6592,49.6592,51.157,49.678,49.6592,49.6592,49.6592,49.6586,61098.6,49.0845,49.6625,49.6592,49.6628,50.0822,49.6592,49.6592,49.6592,49.6592,2901.17,49.6592,50.0955,49.6592,49.6592,51.2345,49.6592,49.659,49.6592,49.6577,49.6592,49.6716,49.6592,49.6592,49.6584,117356.0,49.8294,49.6592,49.7686,54.6267
