,elvstd,chanlength,changrad,chanman,chanbnkf,mannings_o,pr,e0,laio,thetar1_o,thetas3,thetar2,thetar1,thetas2_o,thetas1_f,thetar2_f,thetar2_o,thetar3,thetas2_f,thetas1_o
31,22.7552,19.6337,26.2321,20.1436,21.8572,22.7506,4.40254,23.5758,22.7809,22.7552,47256.0,39.3416,23.585,3646.09,85.2559,22.7552,22.7552,90.5504,1239.61,212.431
32,90.1813,129.032,84.2147,116.314,95.6111,90.2599,6.5773,93.2169,90.213,90.1813,266220.0,112.571,91.3669,3668.04,159.92,90.1813,90.1813,164.526,1282.03,293.588
33,120.324,158.193,103.515,152.009,129.324,120.473,8.26815,124.909,120.361,120.324,297276.0,144.49,121.509,3684.83,192.638,120.324,120.324,196.168,1304.25,327.797
34,96.3879,98.186,80.8735,102.305,100.525,96.5088,8.13294,99.9945,96.4278,96.3879,69075.9,116.514,97.2561,3687.28,165.011,96.3879,96.3879,167.232,1289.22,295.963
35,82.9259,73.0557,73.7568,76.8355,83.0073,83.0154,7.67008,85.2054,82.9663,82.9259,49872.7,100.142,83.6195,3701.82,148.132,82.9259,82.9259,149.179,1291.37,276.062
36,73.8851,63.6443,70.8326,65.719,72.1873,73.9528,7.34802,77.3297,73.9245,73.8851,49293.8,89.3611,74.485,3695.23,137.302,73.8851,73.8851,137.302,1286.79,264.185
37,122.345,142.485,114.976,135.172,124.948,122.478,8.87535,127.738,122.388,122.345,294452.0,141.296,123.175,3693.91,188.324,122.345,122.345,187.314,1304.97,318.9
38,125.79,138.236,116.559,136.639,128.914,125.932,9.21397,131.538,125.838,125.79,324222.0,143.972,126.517,3680.76,192.313,125.79,125.79,190.277,1297.7,323.372
39,111.901,109.06,105.657,111.446,112.702,112.015,9.20993,117.734,111.952,111.901,253285.0,127.933,112.488,3686.14,177.166,111.901,111.901,174.168,1300.46,306.567
40,118.648,119.207,114.065,118.946,119.095,118.761,9.00706,124.9,118.704,118.648,325453.0,134.47,119.247,3678.2,183.546,118.648,118.648,179.598,1289.99,312.718
41,117.085,116.803,114.289,116.895,117.157,117.185,9.10498,123.45,117.146,117.085,320288.0,131.902,117.622,3672.42,181.751,117.085,117.085,176.876,1285.04,310.819
42,112.101,109.532,111.168,110.244,111.68,112.184,9.07921,118.506,112.166,112.101,320884.0,125.836,112.579,3673.92,176.483,112.101,112.101,170.716,1280.72,305.31
43,100.581,93.8512,102.24,95.5504,99.269,100.638,8.95984,106.795,100.647,100.581,114149.0,112.786,100.971,3708.43,164.425,100.581,100.581,157.818,1297.59,292.695
44,101.114,98.3291,103.433,98.3747,100.128,101.162,8.65283,107.629,101.181,101.114,311144.0,113.069,101.508,3674.64,165.082,101.114,101.114,157.611,1278.82,293.661
45,90.819,85.1615,94.4058,86.4287,89.4485,90.8466,8.53476,97.0357,90.8858,90.819,70381.5,101.497,91.1316,3704.47,154.565,90.819,90.819,146.283,1293.39,282.94
46,97.9122,98.8888,100.332,97.9111,97.5368,97.9439,8.17757,104.641,97.9795,97.9122,314800.0,109.086,98.2747,3677.35,162.259,97.9122,97.9122,153.102,1280.67,291.427
47,109.113,115.856,108.854,113.899,110.081,109.157,8.17765,116.044,109.183,109.113,344274.0,120.867,109.507,3686.04,174.382,109.113,109.113,164.318,1291.87,304.59
