,chanlength,chan,chanbw,chanman,elvstd,gradient,chanflpn,changrad,chanbnkf,lzavin,lat,cropgrpn_o,mannings_o,soildepth3_i,soildepth1_f,cropgrpn_i,cropcoef_o,cropcoef_i,soildepth1_o,soildepth2_o,soildepth2_f,mannings_f,soildepth3_f,soildepth1_i,mannings_i,soildepth2_i,cropgrpn_f,soildepth3_o,cropcoef_f,et,es,ta,pr,e0,laii,laio,laif,thetar3,thetas2,genua1_f,genua1_o,lambda2_o,genua3_f,thetar1,lambda3,thetas3,ksat2_o,thetar2,ksat3_o,thetas3_o,ksat2_f,thetar3_o,lambda2_f,lambda1_o,thetas1_o,lambda3_o,lambda1,ksat2,thetas1,thetas2_o,ksat1,genua3_o,genua2,genua2_f,thetas1_f,ksat3_f,lambda1_f,genua3,thetar1_o,thetar2_f,ksat1_f,ksat1_o,genua1,thetas3_f,ksat3,lambda3_f,genua2_o,thetas2_f,thetar2_o,lambda2,thetar3_f,thetar1_f
10,46.8113,46.8113,46.8113,46.8113,46.408,48.5823,46.8113,46.8113,46.8113,46.8113,46.8113,46.8113,46.8283,46.8113,46.8113,46.8113,46.8113,46.8113,46.8113,46.8113,46.8113,46.8189,46.7119,46.8113,46.8113,46.8113,46.8113,46.4138,46.8113,46.8113,46.8113,22.3732,6.54542,46.9552,47.338,46.8635,47.2162,57.9179,46.8113,46.8113,46.8113,46.8113,46.8113,47.1896,46.3124,67685.0,46.8113,20.3844,46.8113,46.8113,46.8113,46.8113,46.8113,46.8113,303.556,46.8113,46.8113,46.8113,46.8113,2450.49,46.8113,46.8113,46.8113,46.8113,126.832,46.8113,46.8113,47.0514,46.8113,46.8113,46.8113,46.8113,46.8113,46.8113,46.6343,46.8113,46.8113,5311.95,46.8113,46.8113,46.8113,46.8113
11,39.4289,39.4289,39.4289,39.4289,38.9646,40.9694,39.4289,39.4289,39.4289,39.4289,39.4289,39.4289,39.4363,39.4289,39.4289,39.4289,39.4289,39.4289,39.4289,39.4289,39.4289,39.4353,39.3308,39.4289,39.4289,39.4289,39.4289,39.04,39.4289,39.4289,39.4289,21.1711,6.45197,39.4846,39.9131,39.4769,39.801,51.2773,39.4289,39.4289,39.4289,39.4289,39.4289,38.7282,38.9406,10562.8,39.4289,15.0386,39.4289,39.4289,39.4289,39.4289,39.4289,39.4289,298.521,39.4289,39.4289,39.4289,39.4289,2444.74,39.4289,39.4289,39.4289,39.4289,120.098,39.4289,39.4289,39.643,39.4289,39.4289,39.4289,39.4289,39.4289,39.4289,39.264,39.4289,39.4289,5309.87,39.4289,39.4289,39.4289,39.4289
12,34.3219,34.3219,34.3219,34.3219,33.9416,35.4496,34.3219,34.3219,34.3219,34.3219,34.3219,34.3219,34.3239,34.3219,34.3219,34.3219,34.3219,34.3219,34.3219,34.3219,34.3219,34.3273,34.2253,34.3219,34.3219,34.3219,34.3219,33.9422,34.3219,34.3219,34.3219,19.8033,6.35566,34.3475,34.7655,34.3659,34.6628,46.8441,34.3219,34.3219,34.3219,34.3219,34.3219,33.1477,33.8448,67728.5,34.3219,12.5339,34.3219,34.3219,34.3219,34.3219,34.3219,34.3219,295.575,34.3219,34.3219,34.3219,34.3219,2439.67,34.3219,34.3219,34.3219,34.3219,115.577,34.3219,34.3219,34.5131,34.3219,34.3219,34.3219,34.3219,34.3219,34.3219,34.1677,34.3219,34.3219,5299.53,34.3219,34.3219,34.3219,34.3219
13,31.2887,31.2887,31.2887,31.2887,31.3578,31.9509,31.2887,31.2887,31.2887,31.2887,31.2887,31.2887,31.2905,31.2887,31.2887,31.2887,31.2887,31.2887,31.2887,31.2887,31.2887,31.2938,31.1938,31.2887,31.2887,31.2887,31.2887,30.9184,31.2887,31.2887,31.2887,18.6351,6.26256,31.304,31.6956,31.329,31.6014,44.4221,31.2887,31.2887,31.2887,31.2887,31.2887,30.376,30.8231,10615.0,31.2887,12.0829,31.2887,31.2887,31.2887,31.2887,31.2887,31.2887,294.529,31.2887,31.2887,31.2887,31.2887,2435.09,31.2887,31.2887,31.2887,31.2887,113.077,31.2887,31.2887,31.4594,31.2887,31.2887,31.2887,31.2887,31.2887,31.2887,31.1438,31.2887,31.2887,5301.79,31.2887,31.2887,31.2887,31.2887
14,41.0954,41.0954,41.0954,41.0954,41.9075,39.2634,41.0954,41.0954,41.0954,41.0954,41.0954,41.0954,41.1086,41.0954,41.0954,41.0954,41.0954,41.0954,41.0954,41.0954,41.0954,41.1021,41.0024,41.0954,41.0954,41.0954,41.0954,40.7348,41.0954,41.0954,41.0954,19.5058,6.20481,41.1077,41.5028,41.1354,41.407,54.7828,41.0954,41.0954,41.0954,41.0954,41.0954,42.3735,40.6416,67793.0,41.0954,22.5562,41.0954,41.0954,41.0954,41.0954,41.0954,41.0954,306.157,41.0954,41.0954,41.0954,41.0954,2441.92,41.0954,41.0954,41.0954,41.0954,123.37,41.0954,41.0954,41.248,41.0954,41.0954,41.0954,41.0954,41.0954,41.0954,40.9588,41.0954,41.0954,5306.36,41.0954,41.0954,41.0954,41.0954
15,39.7033,39.7033,39.7033,39.7033,39.3299,40.0548,39.7033,39.7033,39.7033,39.7033,39.7033,39.7033,39.7114,39.7033,39.7033,39.7033,39.7033,39.7033,39.7033,39.7033,39.7033,39.7095,39.6122,39.7033,39.7033,39.7033,39.7033,39.3524,39.7033,39.7033,39.7033,20.9457,6.25408,39.7077,40.2014,39.7512,40.0827,53.8921,39.7033,39.7033,39.7033,39.7033,39.7033,39.6407,39.2613,10627.4,39.7033,16.3078,39.7033,39.7033,39.7033,39.7033,39.7033,39.7033,306.447,39.7033,39.7033,39.7033,39.7033,2445.54,39.7033,39.7033,39.7033,39.7033,122.425,39.7033,39.7033,39.8397,39.7033,39.7033,39.7033,39.7033,39.7033,39.7033,39.5741,39.7033,39.7033,5310.26,39.7033,39.7033,39.7033,39.7033
16,45.7973,45.7973,45.7973,45.7973,47.0027,44.5673,45.7973,45.7973,45.7973,45.7973,45.7973,45.7973,45.8132,45.7973,45.7973,45.7973,45.7973,45.7973,45.7973,45.7973,45.7973,45.8048,45.7082,45.7973,45.7973,45.7973,45.7973,45.4561,45.7973,45.7973,45.7973,22.158,6.19497,45.7999,46.2766,45.8431,46.1619,60.4393,45.7973,45.7973,45.7973,45.7973,45.7973,47.3381,45.3671,67798.3,45.7973,23.5203,45.7973,45.7973,45.7973,45.7973,45.7973,45.7973,314.074,45.7973,45.7973,45.7973,45.7973,2445.45,45.7973,45.7973,45.7973,45.7973,128.926,45.7973,45.7973,45.9194,45.7973,45.7973,45.7973,45.7973,45.7973,45.7973,45.6747,45.7973,45.7973,5311.11,45.7973,45.7973,45.7973,45.7973
17,42.7429,42.7429,42.7429,42.7429,42.7513,43.4436,42.7429,42.7429,42.7429,42.7429,42.7429,42.7429,42.7505,42.7429,42.7429,42.7429,42.7429,42.7429,42.7429,42.7429,42.7429,42.7494,42.6558,42.7429,42.7429,42.7429,42.7429,42.4113,42.7429,42.7429,42.7429,22.9849,6.23236,42.7438,43.2977,42.7959,43.1629,57.7939,42.7429,42.7429,42.7429,42.7429,42.7429,42.5597,42.3244,10659.3,42.7429,16.5414,42.7429,42.7429,42.7429,42.7429,42.7429,42.7429,312.435,42.7429,42.7429,42.7429,42.7429,2444.37,42.7429,42.7429,42.7429,42.7429,126.246,42.7429,42.7429,42.8521,42.7429,42.7429,42.7429,42.7429,42.7429,42.7429,42.626,42.7429,42.7429,5313.34,42.7429,42.7429,42.7429,42.7429
18,60.0332,60.0332,60.0332,60.0332,61.3891,56.9405,60.0332,60.0332,60.0332,60.0332,60.0332,60.0332,60.0616,60.0332,60.0332,60.0332,60.0332,60.0332,60.0332,60.0332,60.0332,60.0431,59.9482,60.0332,60.0332,60.0332,60.0332,59.7111,60.0332,60.0332,60.0332,24.8964,6.23886,65.2097,60.5447,60.082,60.4202,75.4527,60.0332,60.0332,60.0332,60.0332,60.0332,63.9529,59.6262,67819.4,60.0332,35.7806,60.0332,60.0332,60.0332,60.0332,60.0332,60.0332,331.007,60.0332,60.0332,60.0332,60.0332,2461.99,60.0332,60.0332,60.0332,60.0332,143.877,60.0332,60.0332,60.131,60.0332,60.0332,60.0332,60.0332,60.0332,60.0332,59.9216,60.0332,60.0332,5325.38,60.0332,60.0332,60.0332,60.0332
19,54.2964,54.2964,54.2964,54.2964,53.8779,55.5091,54.2964,54.2964,54.2964,54.2964,54.2964,54.2964,54.3092,54.2964,54.2964,54.2964,54.2964,54.2964,54.2964,54.2964,54.2964,54.3048,54.2135,54.2964,54.2964,54.2964,54.2964,53.9836,54.2964,54.2964,54.2964,25.6643,6.45866,55.6309,54.9538,54.3599,54.7948,70.0473,54.2964,54.2964,54.2964,54.2964,54.2964,54.7306,53.9007,10643.4,54.2964,21.1681,54.2964,54.2964,54.2964,54.2964,54.2964,54.2964,326.466,54.2964,54.2964,54.2964,54.2964,2455.01,54.2964,54.2964,54.2964,54.2964,138.457,54.2964,54.2964,54.384,54.2964,54.2964,54.2964,54.2964,54.2964,54.2964,54.1895,54.2964,54.2964,5324.93,54.2964,54.2964,54.2964,54.2964
