hordatahora,horleitura
2010-01-02,113.69791666666667
2010-01-03,108.03645833333333
2010-01-04,111.52604166666667
2010-01-05,112.72916666666667
2010-01-06,123.609375
2010-01-07,114.41145833333333
2010-01-08,110.11979166666667
2010-01-09,108.19270833333333
2010-01-10,109.02083333333333
2010-01-11,116.86979166666667
2010-01-12,148.29479166666667
2010-01-13,239.365625
2010-01-14,253.75312499999998
2010-01-15,341.1197916666667
2010-01-16,306.8875
2010-01-17,303.66770833333334
2010-01-18,321.221875
2010-01-19,330.159375
2010-01-20,303.9875
2010-01-21,265.5541666666667
2010-01-22,249.69062499999998
2010-01-23,246.58124999999998
2010-01-24,237.865625
2010-01-25,240.265625
2010-01-26,242.02812500000002
2010-01-27,239.26250000000002
2010-01-28,232.3239583333333
2010-01-29,235.15937499999998
2010-01-30,250.2072916666667
2010-01-31,245.975
2010-02-01,244.765625
2010-02-02,257.49583333333334
2010-02-03,265.9760416666667
2010-02-04,276.85729166666664
2010-02-05,266.39479166666666
2010-02-06,210.25833333333333
2010-02-07,184.94062499999998
2010-02-08,186.16458333333333
2010-02-09,164.053125
2010-02-10,173.68541666666667
2010-02-11,169.78020833333332
2010-02-12,159.515625
2010-02-13,240.4020833333333
2010-02-14,259.440625
2010-02-15,265.0854166666667
2010-02-16,293.4114583333333
2010-02-17,262.705
2010-02-18,93.37
2010-02-19,241.58133333333333
2010-02-20,422.3735849056604
2010-02-21,341.76363636363635
2010-02-22,530.3967213114754
2010-02-23,272.6136842105263
2010-02-24,228.7557894736842
2010-02-25,113.59375
2010-02-26,113.64736842105263
2010-02-27,113.64583333333333
2010-02-28,112.15104166666667
2010-03-01,117.109375
2010-03-02,121.22395833333333
2010-03-03,118.70833333333333
2010-03-04,113.58333333333333
2010-03-05,108.890625
2010-03-06,107.125
2010-03-07,182.49687500000002
2010-03-08,160.29583333333332
2010-03-09,154.57500000000002
2010-03-10,155.23125000000002
2010-03-11,154.27812500000002
2010-03-12,146.44375
2010-03-13,135.90520833333332
2010-03-14,126.25520833333333
2010-03-15,125.29166666666667
2010-03-16,120.421875
2010-03-17,112.76842105263158
2010-03-18,108.375
2010-03-19,105.09895833333333
2010-03-20,101.43229166666667
2010-03-21,95.92708333333333
2010-03-22,88.35125
2010-03-23,81.6434375
2010-03-24,78.62010416666666
2010-03-25,87.33031249999999
2010-03-26,117.71770833333333
2010-03-27,112.72916666666667
2010-03-28,123.78125
2010-03-29,231.196875
2010-03-30,351.43333333333334
2010-03-31,278.36145833333336
2010-04-01,236.26666666666665
2010-04-02,212.775
2010-04-03,195.10416666666666
2010-04-04,174.48229166666667
2010-04-05,156.24375
2010-04-06,141.46875
2010-04-07,145.5
2010-04-08,133.52395833333333
2010-04-09,123.12105263157895
2010-04-10,117.99479166666667
2010-04-11,114.91666666666667
2010-04-12,111.21875
2010-04-13,106.96875
2010-04-14,103.078125
2010-04-15,98.81770833333333
2010-04-16,92.17770833333333
2010-04-17,84.26510416666666
2010-04-18,77.2909375
2010-04-19,71.95333333333333
2010-04-20,66.46322916666666
2010-04-21,62.96822916666667
2010-04-22,60.86354166666666
2010-04-23,67.04791666666667
2010-04-24,133.10208333333333
2010-04-25,164.83229166666666
2010-04-26,215.16875000000002
2010-04-27,490.76458333333335
2010-04-28,559.9729166666667
2010-04-29,560.7520833333333
2010-04-30,533.1354166666666
2010-05-01,472.9291666666666
2010-05-02,398.01979166666666
2010-05-03,320.93125000000003
2010-05-04,254.23333333333335
2010-05-05,205.44062499999998
2010-05-06,169.12291666666667
2010-05-07,142.78854166666667
2010-05-08,126.5
2010-05-09,130.96354166666666
2010-05-10,124.20833333333333
2010-05-11,122.90625
2010-05-12,136.040625
2010-05-13,148.76250000000002
2010-05-14,146.68125
2010-05-15,135.57916666666668
2010-05-16,124.81770833333333
2010-05-17,116.21354166666667
2010-05-18,110.82291666666667
2010-05-19,116.16666666666667
2010-05-20,118.63020833333333
2010-05-21,114.02604166666667
2010-05-22,112.07291666666667
2010-05-23,111.36458333333333
2010-05-24,109.84895833333333
2010-05-25,107.52604166666667
2010-05-26,105.21354166666667
2010-05-27,102.78645833333333
2010-05-28,100.52604166666667
2010-05-29,97.17708333333333
2010-05-30,94.21875
2010-05-31,91.8125
2010-06-01,89.52218749999999
2010-06-02,87.47916666666667
2010-06-03,86.77333333333333
2010-06-04,86.16833333333334
2010-06-05,96.200625
2010-06-06,116.171875
2010-06-07,112.52604166666667
2010-06-08,112.3125
2010-06-09,118.65104166666667
2010-06-10,120.84895833333333
2010-06-11,117.35416666666667
2010-06-12,111.83333333333333
2010-06-13,106.52604166666667
2010-06-14,102.07291666666667
2010-06-15,94.84375
2010-06-16,85.75239583333332
2010-06-17,78.80864583333333
2010-06-18,74.06093750000001
2010-06-19,70.3071875
2010-06-20,67.37
2010-06-21,64.8034375
2010-06-22,71.60854166666667
2010-06-23,95.28958333333333
2010-06-24,99.51041666666667
2010-06-25,99.80729166666667
2010-06-26,100.71354166666667
2010-06-27,100.83854166666667
2010-06-28,99.21354166666667
2010-06-29,94.45833333333333
2010-06-30,86.57885416666666
2010-07-01,76.99249999999999
2010-07-02,70.40468750000001
2010-07-03,65.69302083333334
2010-07-04,62.532604166666665
2010-07-05,60.88625
2010-07-06,58.94468749999999
2010-07-07,57.34375
2010-07-08,56.09479166666667
2010-07-09,54.665625
2010-07-10,53.24375
2010-07-11,52.390625
2010-07-12,52.2046875
2010-07-13,51.576
2010-07-14,90.43809523809524
2010-07-15,110.33333333333333
2010-07-16,97.48958333333333
2010-07-17,105.84895833333333
