,vazao_25334953_Porto Amazonas,vazao_25584963_Balsa Nova,vazao_25604951_Guajuvira,vazao_25604939_Araucária,vazao_25594926_Ponte Do Umbarazinho,vazao_25514921_ETE- Sanepar,vazao_25484919_Ponte BR 277
2013-03-18,136.256,89.8253,6.74547,6.79751,6.80579,33.3497,13.64
2013-03-19,123.701,82.3093,6.15575,6.0396,6.08462,30.3504,12.4704
2013-03-20,108.641,72.0644,5.36412,5.269,5.30703,26.5836,10.8791
2013-03-21,101.059,66.5685,4.88947,4.84132,4.86791,24.7061,10.1089
2013-03-22,101.282,66.6773,4.99038,4.82684,5.05181,24.7314,10.1446
2013-03-23,93.0853,61.8284,4.65657,4.50582,4.63723,22.8042,9.3815
2013-03-24,83.1498,54.8021,4.10089,4.05649,4.07943,20.3334,8.28453
2013-03-25,75.1766,49.2111,3.65868,3.64205,3.64427,18.3118,7.4004
2013-03-26,105.514,68.2198,5.20094,5.52475,5.46008,25.9529,10.456
2013-03-27,96.3129,65.0275,4.94042,4.85523,4.87851,24.0108,9.96905
2013-03-28,88.8397,59.1119,4.47772,4.44562,4.45495,21.9333,9.03848
2013-03-29,80.7325,53.6555,4.04521,3.9835,3.99865,19.8601,8.17505
2013-03-30,72.5094,47.7752,3.57991,3.53474,3.54591,17.719,7.24429
2013-03-31,69.5569,45.3323,3.39669,3.39672,3.3982,16.928,6.873
2013-04-01,64.8399,42.4076,3.17355,3.15417,3.16046,15.805,6.42469
2013-04-02,58.7284,38.3195,2.86059,2.84286,2.84862,14.2867,5.79304
2013-04-03,53.1635,34.4714,2.56157,2.54823,2.55287,12.8861,5.1884
2013-04-04,57.5558,36.149,2.67489,2.75654,2.74117,13.7826,5.40799
2013-04-05,57.2179,36.7871,2.72937,2.74033,2.74112,13.8199,5.51605
2013-04-06,72.7863,45.8262,3.43552,3.59016,3.56231,17.6479,6.91692
2013-04-07,104.252,65.6735,4.96877,5.16163,5.12919,25.3835,9.97647
2013-04-08,88.4664,58.4092,4.38981,4.2553,4.28679,21.8256,8.85836
2013-04-09,73.2131,48.297,3.6099,3.50501,3.52719,17.9524,7.30423
2013-04-10,63.9345,41.9758,3.12843,3.06112,3.07503,15.6008,6.33641
2013-04-11,57.167,37.3915,2.78117,2.73797,2.74702,13.8963,5.63472
2013-04-12,51.2307,33.4012,2.47929,2.45073,2.45694,12.4138,5.02331
2013-04-13,46.0899,29.9915,2.22117,2.20165,2.20614,11.1333,4.50015
2013-04-14,79.8747,49.3505,3.78764,4.10953,4.04672,18.8406,7.60791
2013-04-15,83.8453,54.4972,4.17393,4.15828,4.16698,20.2123,8.39811
2013-04-16,70.815,46.8555,3.55913,3.45654,3.47943,17.174,7.1873
2013-04-17,60.6897,40.0926,3.02874,2.95309,2.96886,14.7057,6.12698
2013-04-18,53.468,35.1919,2.65167,2.60133,2.61163,12.9468,5.36777
2013-04-19,47.7243,31.3157,2.35303,2.31925,2.32624,11.5611,4.76423
2013-04-20,42.8166,28.0335,2.10118,2.07787,2.08284,10.3831,4.25446
2013-04-21,38.7492,25.3225,1.89368,1.87711,1.8808,9.41253,3.84007
2013-04-22,34.9767,22.843,1.70493,1.69282,1.69565,8.50948,3.45123
2013-04-23,31.6497,20.6442,1.53409,1.52397,1.52726,7.71628,3.10531
2013-04-24,28.568,18.615,1.37797,1.37114,1.37284,6.98185,2.78926
2013-04-25,25.9438,16.8568,1.23774,1.23243,1.23383,6.38425,2.51815
2013-04-26,24.7484,16.067,1.16809,1.16394,1.1651,6.12327,2.40504
2013-04-27,23.2335,15.1337,1.10387,1.10055,1.10154,5.71975,2.26634
2013-04-28,21.0915,13.6848,1.00445,1.00176,1.0026,5.15849,2.03392
2013-04-29,19.0093,12.3175,0.901466,0.899247,0.899978,4.62728,1.8246
2013-04-30,17.1523,11.1137,0.810066,0.808218,0.808855,4.15615,1.63911
2013-05-01,15.4465,10.0047,0.725966,0.724408,0.724969,3.72463,1.46863
2013-05-02,13.9543,9.03809,0.651582,0.650256,0.650752,3.34213,1.31797
2013-05-03,12.6152,8.17193,0.582822,0.581681,0.582123,2.99011,1.17879
2013-05-04,11.4307,7.4058,0.520706,0.519715,0.52011,2.67176,1.05313
2013-05-05,10.3545,6.71344,0.464585,0.463717,0.464072,2.38427,0.939638
2013-05-06,9.50756,6.17567,0.418586,0.417829,0.418147,2.14811,0.846672
2013-05-07,34.2788,20.2976,1.51423,1.78436,1.73109,8.14262,3.02728
2013-05-08,36.2713,24.1398,1.80967,1.78975,1.79781,8.94591,3.63145
2013-05-09,30.0242,20.3871,1.51525,1.4578,1.47066,7.37889,3.05416
2013-05-10,25.5385,17.1841,1.26832,1.22232,1.23163,6.25856,2.56298
2013-05-11,22.285,14.9045,1.09665,1.06365,1.06999,5.4442,2.21897
2013-05-12,19.6574,13.0997,0.962637,0.939106,0.943487,4.79742,1.94904
2013-05-13,17.464,11.5993,0.851623,0.834558,0.837682,4.25356,1.72479
2013-05-14,15.5718,10.3148,0.756434,0.743784,0.746083,3.78434,1.53225
2013-05-15,14.0005,9.22122,0.67321,0.663626,0.665368,3.37218,1.36381
2013-05-16,13.1441,8.6207,0.626512,0.619174,0.620504,3.13204,1.26934
2013-05-17,12.408,8.02193,0.576306,0.571422,0.572267,2.88376,1.16761
2013-05-18,35.1174,22.1154,1.70917,1.9576,1.90806,8.53092,3.42192
2013-05-19,37.5944,25.6568,1.97619,1.95517,1.96278,9.38247,3.97094
2013-05-20,31.7286,21.9145,1.66923,1.61087,1.6235,7.88579,3.3683
2013-05-21,27.1074,18.5998,1.40994,1.36369,1.37274,6.7273,2.85185
2013-05-22,24.0815,16.3324,1.23218,1.19931,1.20537,5.94356,2.49821
2013-05-23,21.8549,14.5413,1.08955,1.06633,1.07044,5.32794,2.2072
2013-05-24,33.0924,21.401,1.63607,1.76698,1.73963,7.93337,3.29364
2013-05-25,35.1791,23.6368,1.75742,1.73634,1.80309,8.58391,3.65171
2013-05-26,31.0305,20.929,1.53049,1.49383,1.56183,7.60048,3.21913
2013-05-27,27.3666,18.3071,1.37436,1.34487,1.35443,6.70455,2.80276
2013-05-28,24.5256,16.1955,1.21519,1.19377,1.19729,6.00253,2.46499
2013-05-29,29.336,18.368,1.29826,1.33553,1.32656,7.27432,2.98477
2013-05-30,76.1003,46.6661,3.0705,3.3603,3.31701,19.4904,8.3722
2013-05-31,104.208,68.3589,4.37375,4.47259,4.47837,26.6416,11.8309
2013-06-01,84.4136,57.8227,3.80325,3.66264,3.71695,21.5758,9.72147
2013-06-02,69.4235,47.4123,3.15856,3.04373,3.08465,17.6548,7.8866
2013-06-03,60.5188,41.2465,2.78734,2.70982,2.75598,15.3061,6.77716
2013-06-04,127.035,84.3913,6.4292,6.91538,6.87648,31.9879,13.3789
2013-06-05,108.703,76.6723,5.78259,5.56231,5.66026,27.8724,12.0978
2013-06-06,88.4777,62.2778,4.68166,4.51108,4.59631,22.5568,9.77412
2013-06-07,77.1662,54.0128,4.08384,3.97226,4.04816,19.5804,8.42649
2013-06-08,68.8057,47.9019,3.66235,3.58878,3.6516,17.4242,7.44548
2013-06-09,61.7809,42.8825,3.31622,3.26317,3.32214,15.6273,6.64037
2013-06-10,55.7632,38.6445,3.03571,2.99156,3.05806,14.0888,5.94879
2013-06-11,50.6378,35.0266,2.80301,2.76387,2.83567,12.7749,5.34963
2013-06-12,46.0819,31.8298,2.60892,2.57439,2.65136,11.6061,4.8111
2013-06-13,49.2815,33.1,2.87882,2.95827,2.89584,12.3313,4.96423
2013-06-14,48.007,32.7646,2.83186,2.80277,2.75606,12.1333,4.92078
2013-06-15,42.6526,28.974,2.47479,2.47888,2.41302,10.7756,4.34028
2013-06-16,38.4196,25.8667,2.19565,2.20048,2.14385,9.68078,3.86108
2013-06-17,37.6105,24.6219,2.0571,2.08455,2.0294,9.41642,3.7134
2013-06-18,86.079,53.814,4.0307,4.40083,4.29974,21.2227,7.6813
2013-06-19,87.1475,57.5598,4.30468,4.28112,4.27483,21.9704,8.55255
2013-06-20,72.2139,48.549,3.64083,3.54138,3.55624,18.2497,7.34861
2013-06-21,74.9917,49.7795,3.63463,3.63761,3.64314,18.9847,7.91947
2013-06-22,207.159,141.078,8.31847,8.8761,11.912,52.3707,23.1901
2013-06-23,374.892,239.509,15.0519,15.5077,17.4329,94.7536,40.8092
2013-06-24,261.409,177.878,11.4958,10.9702,12.4708,66.4559,29.6531
2013-06-25,208.915,141.856,9.16694,8.88281,10.1423,52.9097,23.4232
2013-06-26,214.02,142.995,9.3873,9.42542,10.5169,53.4123,23.1163
2013-06-27,205.606,137.295,9.07992,9.02245,10.0363,51.5932,22.2669
2013-06-28,188.478,126.169,8.33574,8.25914,9.25683,47.4504,20.5762
2013-06-29,179.805,120.44,8.04457,7.87917,8.93922,45.2634,19.6492
2013-06-30,165.986,111.562,7.48732,7.29405,8.2501,41.8521,18.2015
2013-07-01,180.653,121.187,8.38538,8.45805,9.26721,45.3936,19.7398
2013-07-02,218.171,147.139,10.5586,10.7089,11.426,55.1715,23.845
2013-07-03,192.304,132.223,9.41566,9.14582,9.87201,48.9771,21.3741
2013-07-04,164.915,113.291,8.00472,7.77204,8.41723,41.9258,18.3136
2013-07-05,145.599,99.6959,7.02627,6.86296,7.44077,36.9954,16.1673
2013-07-06,130.693,89.425,6.29552,6.17282,6.7047,33.2071,14.5405
2013-07-07,118.299,81.1301,5.72589,5.62822,6.12066,30.0404,13.1975
2013-07-08,107.475,74.0269,5.24473,5.16224,5.6201,27.2898,11.9896
2013-07-09,97.9037,67.7468,4.82589,4.75221,5.17973,24.8601,10.9258
2013-07-10,89.6177,62.299,4.47971,4.41708,4.81478,22.7506,10.006
2013-07-11,82.1494,57.3039,4.1455,4.08103,4.44941,20.8477,9.16245
2013-07-12,75.0153,52.4346,3.80342,3.73885,4.08066,19.0466,8.36377
2013-07-13,68.3794,47.9542,3.49199,3.43,3.74828,17.3715,7.63957
2013-07-14,62.3444,43.9316,3.21832,3.15942,3.45711,15.8462,6.9751
2013-07-15,56.9342,40.314,2.97261,2.91578,3.19445,14.4773,6.37558
2013-07-16,52.0208,37.0311,2.74835,2.6935,2.95532,13.2378,5.83568
2013-07-17,47.7008,34.2364,2.56301,2.51273,2.76215,12.154,5.3761
