,vazao,etp,horleitura
2013-01-01,88.70762222222221,0.19278916666666668,8.8
2013-01-02,98.6390625,0.22366916666666667,15.8
2013-01-03,105.6921875,0.20446208333333335,6.0
2013-01-04,109.14375,0.19998916666666666,0.0
2013-01-05,108.47395833333331,0.21832791666666665,0.0
2013-01-06,106.15729166666668,0.20981333333333332,0.0
2013-01-07,102.8484375,0.20548,19.2
2013-01-08,97.2229411764706,0.19886416666666665,0.0
2013-01-09,90.9134375,0.2084120833333333,37.2
2013-01-10,80.66425531914894,0.16626166666666667,0.0
2013-01-11,64.74907291666666,0.17703500000000003,0.0
2013-01-12,51.39202083333333,0.17920500000000003,0.0
2013-01-13,42.98616666666666,0.19300375,0.0
2013-01-14,38.31601041666666,0.20810083333333332,0.0
2013-01-15,36.60427083333334,0.18577625,21.2
2013-01-16,41.80439583333334,0.19610166666666665,0.0
2013-01-17,47.376875000000005,0.23507875,0.2
2013-01-18,41.85836458333333,0.19947416666666665,0.0
2013-01-19,45.61782291666666,0.19562708333333334,26.8
2013-01-20,46.50346875,0.20431124999999997,0.0
2013-01-21,48.5654375,0.22723833333333335,0.0
2013-01-22,49.509687500000005,0.21142208333333334,0.0
2013-01-23,41.2730625,0.17684666666666668,0.0
2013-01-24,34.4353125,0.15607333333333331,0.0
2013-01-25,30.6309375,0.16899875,0.0
2013-01-26,29.02959375,0.18821125000000002,10.6
2013-01-27,28.67434375,0.18635416666666668,0.0
2013-01-28,27.248218750000003,0.18175458333333336,0.0
2013-01-29,24.18828125,0.19107416666666666,0.0
2013-01-30,22.4625,0.1811120833333333,0.0
2013-01-31,21.65234375,0.17651375,0.0
2013-02-01,20.5625,0.18172708333333332,0.0
2013-02-02,19.87421875,0.22474000000000002,0.0
2013-02-03,19.278125,0.20277916666666665,1.4
2013-02-04,24.37648958333333,0.201485,2.2
2013-02-05,58.07114583333333,0.18251041666666667,0.2
2013-02-06,69.9951875,0.20852708333333334,0.0
2013-02-07,71.22125,0.20313333333333336,0.0
2013-02-08,73.55978125,0.23067666666666667,16.2
2013-02-09,89.70284375,0.19540375,2.8000000000000003
2013-02-10,94.97708333333333,0.18896333333333334,4.0
2013-02-11,100.09427083333333,0.22092208333333332,13.4
2013-02-12,105.21302083333336,0.1922104166666667,17.400000000000002
2013-02-13,106.24166666666667,0.16127708333333332,6.8
2013-02-14,105.15364583333331,0.14398416666666666,0.4
2013-02-15,102.7171875,0.15403291666666666,11.0
2013-02-16,100.70885416666664,0.15294666666666668,0.2
2013-02-17,97.00625,0.18838083333333333,1.0
2013-02-18,95.175,0.178805,13.0
2013-02-19,99.31354166666668,0.16469375,11.4
2013-02-20,100.1078125,0.15616916666666666,21.6
2013-02-21,99.03854166666667,0.15234333333333333,7.2
2013-02-22,101.840625,0.16469,0.0
2013-02-23,105.30677083333336,0.16318,0.2
2013-02-24,107.68229166666669,0.15554875,0.0
2013-02-25,108.5421875,0.18254375,0.4
2013-02-26,107.5921875,0.18594291666666665,2.2
2013-02-27,111.47916666666669,0.18158083333333333,10.6
2013-02-28,107.503125,0.19872791666666667,0.0
2013-03-01,101.44791666666669,0.1747395833333333,0.0
2013-03-02,99.02447916666668,0.1814,0.0
2013-03-03,96.125,0.20092500000000002,0.0
2013-03-04,88.7389375,0.17137666666666665,0.0
2013-03-05,73.64105208333334,0.17220916666666666,0.0
2013-03-06,63.4496875,0.17561583333333333,39.0
2013-03-07,62.5689375,0.18444625,0.6000000000000001
2013-03-08,76.79571875,0.18656874999999998,20.4
2013-03-09,81.11914583333333,0.17554041666666667,0.0
2013-03-10,83.23420833333334,0.17768874999999998,9.0
2013-03-11,98.7125,0.16839875,6.2
2013-03-12,95.7,0.15958333333333333,0.2
2013-03-13,87.64709375,0.15724375,3.2
2013-03-14,142.678,0.15392333333333333,62.2
2013-03-15,140.975,0.17434166666666664,0.0
2013-03-16,123.1234375,0.15376,0.4
2013-03-17,117.63229166666667,0.13980875,0.0
2013-03-18,117.80729166666669,0.15463166666666667,0.0
2013-03-19,115.03385416666669,0.18219583333333333,0.0
2013-03-20,112.434375,0.17878875000000002,0.0
2013-03-21,111.64479166666666,0.14775249999999998,11.6
2013-03-22,112.71197916666668,0.12710833333333335,0.0
2013-03-23,109.3828125,0.13857333333333333,0.0
2013-03-24,105.2078125,0.11096875,0.0
2013-03-25,103.22447916666664,0.16301541666666666,26.6
2013-03-26,104.09895833333331,0.15484625,0.0
2013-03-27,99.59583333333336,0.15533083333333333,6.6
2013-03-28,97.48541666666668,0.14212166666666667,0.0
2013-03-29,92.59425,0.12900375,0.0
2013-03-30,85.31377083333334,0.1365625,0.0
2013-03-31,76.31922916666666,0.12859708333333333,0.0
2013-04-01,67.62228125,0.12563833333333332,0.0
2013-04-02,60.508156250000006,0.11696333333333332,0.0
2013-04-03,57.04059375,0.12125541666666667,15.0
2013-04-04,56.65228125,0.11263125,0.2
2013-04-05,58.50414583333333,0.11976166666666667,40.6
2013-04-06,89.89631250000001,0.12479541666666666,19.2
2013-04-07,90.69642708333332,0.12107458333333333,0.0
2013-04-08,88.35893750000001,0.11570791666666667,0.0
2013-04-09,86.04859375000001,0.10444333333333333,0.0
2013-04-10,80.1744375,0.09940208333333334,0.0
2013-04-11,71.03486458333333,0.14547666666666667,0.0
2013-04-12,61.64925,0.13699333333333333,0.0
2013-04-13,60.32908333333333,0.14778291666666668,53.2
2013-04-14,77.14102083333333,0.11834291666666667,6.800000000000001
2013-04-15,83.85294791666666,0.09997916666666667,0.0
2013-04-16,85.72340625,0.10161750000000001,0.0
