,vazao,etp,horleitura,Q_fore
2013-01-01,88.70762222222221,0.1927891666666666,8.8,390.75434629386825
2013-01-02,98.6390625,0.2236691666666666,15.8,313.4449372351518
2013-01-03,105.6921875,0.2044620833333333,6.0,277.16307261537446
2013-01-04,109.14375,0.1999891666666666,0.0,240.98947711726038
2013-01-05,108.47395833333331,0.2183279166666666,0.0,202.64939090719494
2013-01-06,106.15729166666668,0.2098133333333333,0.0,172.0293854724429
2013-01-07,102.8484375,0.20548,19.2,152.47039097975465
2013-01-08,97.2229411764706,0.1988641666666666,0.0,148.9672108043222
2013-01-09,90.9134375,0.2084120833333333,37.2,144.82105637879002
2013-01-10,80.66425531914894,0.1662616666666666,0.0,157.30527052398733
2013-01-11,64.74907291666666,0.177035,0.0,153.04988940497043
2013-01-12,51.39202083333333,0.179205,0.0,133.6513910303978
2013-01-13,42.98616666666666,0.19300375,0.0,119.1906236891844
2013-01-14,38.31601041666666,0.2081008333333333,0.0,107.52698014581858
2013-01-15,36.60427083333334,0.18577625,21.2,100.65969935566669
2013-01-16,41.80439583333334,0.1961016666666666,0.0,105.02783944630097
2013-01-17,47.376875000000005,0.23507875,0.2,102.28083009834813
2013-01-18,41.85836458333333,0.1994741666666666,0.0,93.1016085149046
2013-01-19,45.61782291666666,0.1956270833333333,26.8,88.99631583098534
2013-01-20,46.50346875,0.2043112499999999,0.0,97.62827548825808
2013-01-21,48.5654375,0.2272383333333333,0.0,97.5723254132105
2013-01-22,49.509687500000005,0.2114220833333333,0.0,89.13400442248299
2013-01-23,41.2730625,0.1768466666666666,0.0,82.49126489251314
2013-01-24,34.4353125,0.1560733333333333,0.0,76.83625102833928
2013-01-25,30.6309375,0.16899875,0.0,71.92674491542428
2013-01-26,29.02959375,0.18821125,10.6,68.66385819921084
2013-01-27,28.67434375,0.1863541666666666,0.0,69.51438206233767
2013-01-28,27.248218750000003,0.1817545833333333,0.0,67.86588229190107
2013-01-29,24.18828125,0.1910741666666666,0.0,63.89020379842365
2013-01-30,22.4625,0.1811120833333333,0.0,60.5273429950471
2013-01-31,21.65234375,0.17651375,0.0,57.54577026255902
2013-02-01,20.5625,0.1817270833333333,0.0,54.87152147882484
2013-02-02,19.87421875,0.22474,0.0,52.46127070540874
2013-02-03,19.278125,0.2027791666666666,1.4,50.37173233688773
2013-02-04,24.37648958333333,0.201485,2.2,48.950323944304266
2013-02-05,58.07114583333333,0.1825104166666666,0.2,47.97702491591072
2013-02-06,69.9951875,0.2085270833333333,0.0,46.5188571440188
2013-02-07,71.22125,0.2031333333333333,0.0,44.83453477630001
2013-02-08,73.55978125,0.2306766666666666,16.2,44.41176905774757
2013-02-09,89.70284375,0.19540375,2.8000000000000003,48.401916751392996
2013-02-10,94.97708333333333,0.1889633333333333,4.0,50.51979374971915
2013-02-11,100.09427083333333,0.2209220833333333,13.4,51.103562308635105
2013-02-12,105.21302083333336,0.1922104166666667,17.400000000000002,55.955533852014845
2013-02-13,106.24166666666667,0.1612770833333333,6.8,63.59440823636969
2013-02-14,105.15364583333331,0.1439841666666666,0.4,66.67229660998586
2013-02-15,102.7171875,0.1540329166666666,11.0,65.28815484355687
2013-02-16,100.70885416666664,0.1529466666666666,0.2,66.49663334579033
2013-02-17,97.00625,0.1883808333333333,1.0,65.33361755734185
2013-02-18,95.175,0.178805,13.0,63.22412780810811
2013-02-19,99.31354166666668,0.16469375,11.4,66.8063314102257
2013-02-20,100.1078125,0.1561691666666666,21.6,73.49809572512578
2013-02-21,99.03854166666667,0.1523433333333333,7.2,83.38023984613747
2013-02-22,101.840625,0.16469,0.0,87.09653382042734
2013-02-23,105.30677083333336,0.16318,0.2,82.4093766344566
2013-02-24,107.68229166666669,0.15554875,0.0,76.78072771263871
2013-02-25,108.5421875,0.18254375,0.4,72.0723241420605
2013-02-26,107.5921875,0.1859429166666666,2.2,68.22944126969405
2013-02-27,111.47916666666669,0.1815808333333333,10.6,66.51304854415622
2013-02-28,107.503125,0.1987279166666666,0.0,68.19965244969842
2013-03-01,101.44791666666669,0.1747395833333333,0.0,66.83122134463552
2013-03-02,99.02447916666668,0.1814,0.0,63.122860517632155
2013-03-03,96.125,0.200925,0.0,59.98817318805247
2013-03-04,88.7389375,0.1713766666666666,0.0,57.19950782291538
2013-03-05,73.64105208333334,0.1722091666666666,0.0,54.689335111464516
2013-03-06,63.4496875,0.1756158333333333,39.0,55.673118758755095
2013-03-07,62.5689375,0.18444625,0.6000000000000001,70.07185971863645
2013-03-08,76.79571875,0.1865687499999999,20.4,77.90809723938172
2013-03-09,81.11914583333333,0.1755404166666666,0.0,83.02856373294736
2013-03-10,83.23420833333334,0.1776887499999999,9.0,83.91638000792159
2013-03-11,98.7125,0.16839875,6.2,83.4274040320934
2013-03-12,95.7,0.1595833333333333,0.2,83.56578146269041
2013-03-13,87.64709375,0.15724375,3.2,79.8796611188962
2013-03-14,142.678,0.1539233333333333,62.2,83.62201260102243
2013-03-15,140.975,0.1743416666666666,0.0,118.49783478316641
2013-03-16,123.1234375,0.15376,0.4,130.61909684779963
2013-03-17,117.63229166666667,0.13980875,0.0,116.3245354187809
2013-03-18,117.80729166666669,0.1546316666666666,0.0,106.07679499484155
2013-03-19,115.03385416666669,0.1821958333333333,0.0,97.58754524002642
2013-03-20,112.434375,0.17878875,0.0,90.39679014031083
2013-03-21,111.64479166666666,0.1477524999999999,11.6,85.65004048593977
2013-03-22,112.71197916666668,0.1271083333333333,0.0,86.62752369512037
2013-03-23,109.3828125,0.1385733333333333,0.0,84.19302936359139
2013-03-24,105.2078125,0.11096875,0.0,78.64924597636418
2013-03-25,103.22447916666664,0.1630154166666666,26.6,77.01691018242194
2013-03-26,104.09895833333331,0.15484625,0.0,87.11259278777315
2013-03-27,99.59583333333336,0.1553308333333333,6.6,89.84719654073133
2013-03-28,97.48541666666668,0.1421216666666666,0.0,86.97800382921156
2013-03-29,92.59425,0.12900375,0.0,83.10977328692356
2013-03-30,85.31377083333334,0.1365625,0.0,77.87794510933078
2013-03-31,76.31922916666666,0.1285970833333333,0.0,73.4264870463714
2013-04-01,67.62228125,0.1256383333333333,0.0,69.51874069660428
2013-04-02,60.508156250000006,0.1169633333333333,0.0,66.05323460527636
2013-04-03,57.04059375,0.1212554166666666,15.0,64.42344213085173
2013-04-04,56.65228125,0.11263125,0.2,68.41713556054565
