hordatahora,horleitura
2010-10-19,0.000
2010-10-20,0.000
2010-10-21,0.000
2010-10-22,0.000
2010-10-23,3.400
2010-10-24,0.200
2010-10-25,4.000
2010-10-26,0.400
2010-10-27,0.000
2010-10-28,0.000
2010-10-29,0.000
2010-10-30,35.800
2010-10-31,0.000
2010-11-01,0.000
2010-11-02,0.000
2010-11-03,0.000
2010-11-04,0.000
2010-11-05,9.200
2010-11-06,3.400
2010-11-07,0.000
2010-11-08,0.000
2010-11-09,4.400
2010-11-10,0.600
2010-11-11,0.000
2010-11-12,0.200
2010-11-13,0.000
2010-11-14,0.000
2010-11-15,0.000
2010-11-16,7.200
2010-11-17,25.600
2010-11-18,0.200
2010-11-19,0.000
2010-11-20,0.000
2010-11-21,0.200
2010-11-22,24.600
2010-11-23,0.200
2010-11-24,40.600
2010-11-25,1.400
2010-11-26,0.000
2010-11-27,0.000
2010-11-28,0.000
2010-11-29,0.000
2010-11-30,25.200
2010-12-01,11.400
2010-12-02,12.400
2010-12-03,0.000
2010-12-04,17.200
2010-12-05,12.800
2010-12-06,0.000
2010-12-07,16.400
2010-12-08,0.000
2010-12-09,0.000
2010-12-10,0.000
2010-12-11,13.800
2010-12-12,3.400
2010-12-13,132.600
2010-12-14,21.800
2010-12-15,2.200
2010-12-16,7.200
2010-12-17,28.000
2010-12-18,0.000
2010-12-19,0.000
2010-12-20,0.000
2010-12-21,20.400
2010-12-22,20.600
2010-12-23,1.400
2010-12-24,17.000
2010-12-25,17.800
2010-12-26,26.400
2010-12-27,0.000
2010-12-28,0.000
2010-12-29,0.000
2010-12-30,0.200
2010-12-31,0.400
2011-01-01,0.000
2011-01-02,5.600
2011-01-03,0.000
2011-01-04,0.000
2011-01-05,0.000
2011-01-06,23.600
2011-01-07,0.400
2011-01-08,0.200
2011-01-09,3.600
2011-01-10,25.000
2011-01-11,5.200
2011-01-12,37.600
2011-01-13,0.000
2011-01-14,7.800
2011-01-15,17.200
2011-01-16,4.000
2011-01-17,12.200
2011-01-18,39.000
2011-01-19,8.600
2011-01-20,10.200
2011-01-21,14.000
2011-01-22,10.000
2011-01-23,90.000
2011-01-24,0.000
2011-01-25,2.800
2011-01-26,0.000
2011-01-27,0.600
2011-01-28,8.000
2011-01-29,44.400
2011-01-30,3.600
2011-01-31,0.200
2011-02-01,66.400
2011-02-02,0.000
2011-02-03,19.200
2011-02-04,0.200
2011-02-05,10.200
2011-02-06,12.400
2011-02-07,1.600
2011-02-08,0.400
2011-02-09,2.200
2011-02-10,52.000
2011-02-11,10.400
2011-02-12,2.200
2011-02-13,18.200
2011-02-14,10.400
2011-02-15,24.800
2011-02-16,0.600
2011-02-17,3.600
2011-02-18,0.000
2011-02-19,18.000
2011-02-20,0.200
2011-02-21,0.000
2011-02-22,31.800
2011-02-23,11.600
2011-02-24,10.600
2011-02-25,3.200
2011-02-26,0.000
2011-02-27,0.000
2011-02-28,0.000
2011-03-01,0.200
2011-03-02,0.600
2011-03-03,4.200
2011-03-04,1.600
2011-03-05,0.800
2011-03-06,6.400
2011-03-07,7.600
2011-03-08,0.200
2011-03-09,2.000
2011-03-10,2.600
2011-03-11,20.400
2011-03-12,0.800
2011-03-13,0.000
2011-03-14,2.400
2011-03-15,0.200
2011-03-16,0.000
2011-03-17,0.000
2011-03-18,0.000
2011-03-19,0.200
2011-03-20,0.400
2011-03-21,0.200
2011-03-22,0.000
2011-03-23,0.000
2011-03-24,0.000
2011-03-25,0.200
2011-03-26,0.000
2011-03-27,20.800
2011-03-28,0.600
2011-03-29,0.200
2011-03-30,28.400
2011-03-31,3.200
2011-04-01,36.400
2011-04-02,32.600
2011-04-03,0.600
2011-04-04,0.200
2011-04-05,0.000
2011-04-06,0.000
2011-04-07,0.000
2011-04-08,0.000
2011-04-09,15.800
2011-04-10,0.000
2011-04-11,0.000
2011-04-12,10.800
2011-04-13,0.000
2011-04-14,0.000
2011-04-15,7.600
2011-04-16,0.000
2011-04-17,0.000
2011-04-18,3.000
2011-04-19,0.200
2011-04-20,0.000
2011-04-21,0.000
2011-04-22,0.200
2011-04-23,2.200
2011-04-24,0.000
2011-04-25,0.000
2011-04-26,0.000
2011-04-27,3.000
2011-04-28,6.600
2011-04-29,0.000
2011-04-30,0.000
2011-05-01,0.800
2011-05-02,0.200
2011-05-03,0.000
2011-05-04,0.000
2011-05-05,0.000
2011-05-06,0.000
2011-05-07,0.000
2011-05-08,0.000
2011-05-09,0.000
2011-05-10,0.000
2011-05-11,0.000
2011-05-12,0.000
2011-05-13,0.000
2011-05-14,15.000
2011-05-15,12.800
2011-05-16,2.200
2011-05-17,0.200
2011-05-18,0.000
2011-05-19,0.000
2011-05-20,0.000
2011-05-21,0.000
2011-05-22,0.000
2011-05-23,0.000
2011-05-24,0.000
2011-05-25,0.000
2011-05-26,0.000
2011-05-27,0.000
2011-05-28,0.000
2011-05-29,0.000
2011-05-30,0.000
2011-05-31,0.000
2011-06-01,0.000
2011-06-02,0.200
2011-06-03,0.000
2011-06-04,0.000
2011-06-05,0.000
2011-06-06,0.000
2011-06-07,31.400
2011-06-08,0.000
2011-06-09,36.000
2011-06-10,0.000
2011-06-11,0.000
2011-06-12,0.000
2011-06-13,0.200
2011-06-14,0.000
2011-06-15,0.000
2011-06-16,0.000
2011-06-17,0.200
2011-06-18,0.000
2011-06-19,0.000
2011-06-20,0.000
2011-06-21,0.000
2011-06-22,0.600
2011-06-23,0.000
2011-06-24,0.200
2011-06-25,0.000
2011-06-26,9.000
2011-06-27,0.000
2011-06-28,0.000
2011-06-29,13.600
2011-06-30,28.600
2011-07-01,20.800
2011-07-02,7.200
2011-07-03,48.400
2011-07-04,0.200
2011-07-05,0.000
2011-07-06,0.000
2011-07-07,0.000
2011-07-08,0.000
2011-07-09,0.000
2011-07-10,0.000
2011-07-11,3.600
2011-07-12,0.200
2011-07-13,0.000
2011-07-14,0.000
2011-07-15,0.000
2011-07-16,0.000
2011-07-17,0.000
2011-07-18,18.000
2011-07-19,0.000
2011-07-20,0.000
2011-07-21,12.200
2011-07-22,0.200
2011-07-23,0.000
2011-07-24,0.000
2011-07-25,0.000
2011-07-26,0.000
2011-07-27,0.000
2011-07-28,0.200
2011-07-29,0.000
2011-07-30,14.400
2011-07-31,63.800
2011-08-01,92.400
2011-08-02,2.200
2011-08-03,0.000
2011-08-04,0.000
2011-08-05,0.000
2011-08-06,0.000
2011-08-07,0.000
2011-08-08,0.000
2011-08-09,21.800
2011-08-10,1.400
2011-08-11,0.000
2011-08-12,0.000
2011-08-13,0.000
2011-08-14,0.000
2011-08-15,0.000
2011-08-16,0.000
2011-08-17,0.000
2011-08-18,0.600
2011-08-19,54.200
2011-08-20,1.200
2011-08-21,0.000
2011-08-22,7.800
2011-08-23,4.400
2011-08-24,0.000
2011-08-25,3.200
2011-08-26,0.200
2011-08-27,0.000
2011-08-28,0.000
2011-08-29,0.000
2011-08-30,44.600
2011-08-31,0.200
2011-09-01,0.000
2011-09-02,0.000
2011-09-03,0.000
2011-09-04,0.000
2011-09-05,0.000
2011-09-06,11.000
2011-09-07,17.400
2011-09-08,0.600
2011-09-09,12.000
2011-09-10,0.200
2011-09-11,0.000
2011-09-12,0.000
2011-09-13,0.000
2011-09-14,0.200
2011-09-15,0.200
2011-09-16,0.000
2011-09-17,0.000
2011-09-18,0.000
2011-09-19,0.000
2011-09-20,1.400
2011-09-21,0.000
2011-09-22,0.000
2011-09-23,4.800
2011-09-24,0.800
2011-09-25,1.200
2011-09-26,0.000
2011-09-27,0.000
2011-09-28,0.000
2011-09-29,0.000
2011-09-30,0.000
2011-10-01,11.200
2011-10-02,5.400
2011-10-03,0.000
2011-10-04,0.000
2011-10-05,0.000
2011-10-06,0.000
2011-10-07,0.000
2011-10-08,5.400
2011-10-09,27.400
2011-10-10,1.800
2011-10-11,0.200
2011-10-12,0.000
2011-10-13,44.200
2011-10-14,3.600
2011-10-15,10.400
2011-10-16,17.200
2011-10-17,0.200
2011-10-18,0.000
2011-10-19,1.200
2011-10-20,0.000
2011-10-21,5.400
2011-10-22,0.200
2011-10-23,0.000
2011-10-24,0.000
2011-10-25,5.400
2011-10-26,0.000
2011-10-27,0.000
2011-10-28,0.000
2011-10-29,23.000
2011-10-30,4.400
2011-10-31,0.000
2011-11-01,1.200
2011-11-02,0.200
2011-11-03,0.400
2011-11-04,0.000
2011-11-05,0.000
2011-11-06,0.000
2011-11-07,0.000
2011-11-08,0.000
2011-11-09,0.000
2011-11-10,0.200
2011-11-11,5.600
2011-11-12,0.000
2011-11-13,10.600
2011-11-14,18.000
2011-11-15,12.800
2011-11-16,0.200
2011-11-17,0.000
2011-11-18,0.000
2011-11-19,0.000
2011-11-20,0.000
2011-11-21,2.200
2011-11-22,5.800
2011-11-23,0.000
2011-11-24,0.000
2011-11-25,0.000
2011-11-26,35.600
2011-11-27,0.000
2011-11-28,2.000
2011-11-29,0.800
2011-11-30,4.600
2011-12-01,0.200
2011-12-02,0.000
2011-12-03,0.200
2011-12-04,0.000
2011-12-05,0.400
2011-12-06,0.000
2011-12-07,0.400
2011-12-08,35.200
2011-12-09,21.200
2011-12-10,0.200
2011-12-11,0.400
2011-12-12,0.000
2011-12-13,2.400
2011-12-14,14.000
2011-12-15,0.200
2011-12-16,0.000
2011-12-17,0.000
2011-12-18,0.000
2011-12-19,0.000
2011-12-20,0.000
2011-12-21,10.000
2011-12-22,0.200
2011-12-23,62.400
2011-12-24,29.400
2011-12-25,0.600
2011-12-26,1.400
2011-12-27,0.200
2011-12-28,3.600
2011-12-29,0.000
2011-12-30,1.600
2011-12-31,22.800
2012-01-01,0.800
2012-01-02,0.200
2012-01-03,0.000
2012-01-04,0.000
2012-01-05,0.800
2012-01-06,7.600
2012-01-07,0.200
2012-01-08,1.600
2012-01-09,1.000
2012-01-10,3.400
2012-01-11,19.000
2012-01-12,0.800
2012-01-13,0.200
2012-01-14,15.600
2012-01-15,15.600
2012-01-16,5.200
2012-01-17,11.600
2012-01-18,1.600
2012-01-19,0.000
2012-01-20,4.600
2012-01-21,10.600
2012-01-22,0.400
2012-01-23,2.200
2012-01-24,0.200
