hordatahora,horleitura
2010-10-29,0.000
2010-10-30,54.800
2010-10-31,0.000
2010-11-01,0.000
2010-11-02,0.000
2010-11-03,0.000
2010-11-04,0.000
2010-11-05,24.600
2010-11-06,7.200
2010-11-07,0.000
2010-11-08,0.000
2010-11-09,5.800
2010-11-10,3.400
2010-11-11,0.000
2010-11-12,0.000
2010-11-13,0.000
2010-11-14,0.000
2010-11-15,0.000
2010-11-16,0.000
2010-11-17,0.400
2010-11-18,3.600
2010-11-19,0.000
2010-11-20,0.200
2010-11-21,0.000
2010-11-22,36.800
2010-11-23,0.200
2010-11-24,0.000
2010-11-25,0.000
2010-11-26,0.000
2010-11-27,0.000
2010-11-28,1.400
2010-11-29,13.400
2010-11-30,30.400
2010-12-01,7.000
2010-12-02,27.400
2010-12-03,0.000
2010-12-04,25.800
2010-12-05,11.400
2010-12-06,0.000
2010-12-07,54.200
2010-12-08,0.200
2010-12-09,0.000
2010-12-10,3.200
2010-12-11,2.200
2010-12-12,15.400
2010-12-13,116.600
2010-12-14,12.200
2010-12-15,0.200
2010-12-16,10.400
2010-12-17,2.200
2010-12-18,0.000
2010-12-19,0.600
2010-12-20,1.200
2010-12-21,39.600
2010-12-22,33.600
2010-12-23,0.200
2010-12-24,0.000
2010-12-25,23.000
2010-12-26,0.200
2010-12-27,0.000
2010-12-28,0.000
2010-12-29,0.000
2010-12-30,0.000
2010-12-31,1.800
2011-01-01,0.000
2011-01-02,8.200
2011-01-03,0.200
2011-01-04,0.000
2011-01-05,0.000
2011-01-06,0.000
2011-01-07,0.000
2011-01-08,0.000
2011-01-09,24.400
2011-01-10,5.800
2011-01-11,17.600
2011-01-12,14.800
2011-01-13,0.200
2011-01-14,0.000
2011-01-15,0.400
2011-01-16,21.400
2011-01-17,13.200
2011-01-18,4.800
2011-01-19,19.600
2011-01-20,0.000
2011-01-21,8.600
2011-01-22,17.600
2011-01-23,16.600
2011-01-24,0.600
2011-01-25,0.000
2011-01-26,9.400
2011-01-27,9.200
2011-01-28,24.400
2011-01-29,5.600
2011-01-30,97.000
2011-01-31,8.600
2011-02-01,1.000
2011-02-02,0.000
2011-02-03,7.400
2011-02-04,0.200
2011-02-05,0.200
2011-02-06,39.600
2011-02-07,38.000
2011-02-08,0.600
2011-02-09,26.000
2011-02-10,24.200
2011-02-11,0.400
2011-02-12,16.400
2011-02-13,25.000
2011-02-14,11.800
2011-02-15,22.400
2011-02-16,0.000
2011-02-17,0.000
2011-02-18,2.000
2011-02-19,2.000
2011-02-20,0.200
2011-02-21,14.400
2011-02-22,6.000
2011-02-23,2.600
2011-02-24,4.800
2011-02-25,10.800
2011-02-26,0.000
2011-02-27,0.000
2011-02-28,0.000
2011-03-01,0.000
2011-03-02,0.000
2011-03-03,0.200
2011-03-04,0.000
2011-03-05,0.200
2011-03-06,0.400
2011-03-07,0.800
2011-03-08,0.000
2011-03-09,0.000
2011-03-10,0.400
2011-03-11,4.400
2011-03-12,30.000
2011-03-13,5.400
2011-03-14,11.600
2011-03-15,0.000
2011-03-16,0.000
2011-03-17,0.000
2011-03-18,0.000
2011-03-19,0.000
2011-03-20,0.000
2011-03-21,0.000
2011-03-22,0.000
2011-03-23,38.400
2011-03-24,0.000
2011-03-25,24.800
2011-03-26,0.000
2011-03-27,11.000
2011-03-28,11.400
2011-03-29,2.400
2011-03-30,40.800
2011-03-31,0.600
2011-04-01,16.600
2011-04-02,4.600
2011-04-03,0.200
2011-04-04,0.000
2011-04-05,0.000
2011-04-06,0.000
2011-04-07,0.000
2011-04-08,0.000
2011-04-09,6.400
2011-04-10,0.000
2011-04-11,0.000
2011-04-12,1.200
2011-04-13,0.000
2011-04-14,0.400
2011-04-15,0.000
2011-04-16,0.000
2011-04-17,0.000
2011-04-18,0.000
2011-04-19,0.000
2011-04-20,0.000
2011-04-21,20.000
2011-04-22,0.000
2011-04-23,0.200
2011-04-24,0.000
2011-04-25,0.000
2011-04-26,0.000
2011-04-27,0.000
2011-04-28,0.000
2011-04-29,0.200
2011-04-30,2.600
2011-05-01,0.400
2011-05-02,0.000
2011-05-03,0.000
2011-05-04,0.000
2011-05-05,0.000
2011-05-06,0.000
2011-05-07,0.000
2011-05-08,0.000
2011-05-09,0.000
2011-05-10,0.000
2011-05-11,0.000
2011-05-12,0.200
2011-05-13,0.000
2011-05-14,11.800
2011-05-15,18.600
2011-05-16,0.000
2011-05-17,0.000
2011-05-18,0.000
2011-05-19,0.000
2011-05-20,0.000
2011-05-21,0.000
2011-05-22,0.000
2011-05-23,0.000
2011-05-24,0.000
2011-05-25,0.000
2011-05-26,0.000
2011-05-27,0.400
2011-05-28,0.000
2011-05-29,0.000
2011-05-30,0.000
2011-05-31,0.000
2011-06-01,0.000
2011-06-02,0.000
2011-06-03,2.200
2011-06-04,0.200
2011-06-05,0.000
2011-06-06,0.000
2011-06-07,40.800
2011-06-08,0.000
2011-06-09,11.600
2011-06-10,0.000
2011-06-11,0.200
2011-06-12,0.000
2011-06-13,0.000
2011-06-14,0.000
2011-06-15,0.000
2011-06-16,0.000
2011-06-17,0.000
2011-06-18,5.200
2011-06-19,0.000
2011-06-20,0.000
2011-06-21,0.000
2011-06-22,20.400
2011-06-23,0.200
2011-06-24,0.000
2011-06-25,4.400
2011-06-26,23.400
2011-06-27,0.000
2011-06-28,0.000
2011-06-29,19.000
2011-06-30,42.200
2011-07-01,28.600
2011-07-02,14.800
2011-07-03,34.600
2011-07-04,0.000
2011-07-05,0.200
2011-07-06,0.000
2011-07-07,0.000
2011-07-08,0.000
2011-07-09,0.000
2011-07-10,0.000
2011-07-11,0.000
2011-07-12,0.000
2011-07-13,0.000
2011-07-14,0.000
2011-07-15,0.000
2011-07-16,0.000
2011-07-17,0.800
2011-07-18,27.000
2011-07-19,0.000
2011-07-20,0.000
2011-07-21,54.800
2011-07-22,0.000
2011-07-23,0.000
2011-07-24,0.000
2011-07-25,0.000
2011-07-26,0.000
2011-07-27,0.000
2011-07-28,0.000
2011-07-29,3.800
2011-07-30,34.800
2011-07-31,59.000
2011-08-01,89.400
2011-08-02,0.600
2011-08-03,0.000
2011-08-04,0.000
2011-08-05,0.000
2011-08-06,0.000
2011-08-07,2.800
2011-08-08,0.400
2011-08-09,28.200
2011-08-10,0.600
2011-08-11,0.200
2011-08-12,0.000
2011-08-13,0.000
2011-08-14,0.000
2011-08-15,0.000
2011-08-16,0.000
2011-08-17,1.000
2011-08-18,22.600
2011-08-19,49.200
2011-08-20,0.200
2011-08-21,0.200
2011-08-22,43.200
2011-08-23,10.800
2011-08-24,0.200
2011-08-25,0.000
2011-08-26,0.000
2011-08-27,0.000
2011-08-28,0.000
2011-08-29,0.000
2011-08-30,34.000
2011-08-31,0.000
2011-09-01,0.000
2011-09-02,0.000
2011-09-03,0.000
2011-09-04,0.000
2011-09-05,4.600
2011-09-06,51.600
2011-09-07,69.200
2011-09-08,23.200
2011-09-09,8.400
2011-09-10,0.000
2011-09-11,0.000
2011-09-12,0.000
2011-09-13,0.200
2011-09-14,0.000
2011-09-15,0.000
2011-09-16,0.000
2011-09-17,0.000
2011-09-18,0.000
2011-09-19,0.000
2011-09-20,2.600
2011-09-21,0.000
2011-09-22,0.000
2011-09-23,6.400
2011-09-24,0.000
2011-09-25,0.000
2011-09-26,0.000
2011-09-27,0.000
2011-09-28,0.000
2011-09-29,0.000
2011-09-30,0.000
2011-10-01,16.200
2011-10-02,0.600
2011-10-03,0.000
2011-10-04,0.000
2011-10-05,0.000
2011-10-06,0.000
2011-10-07,0.000
2011-10-08,2.600
2011-10-09,13.800
2011-10-10,36.200
2011-10-11,0.000
2011-10-12,0.000
2011-10-13,76.000
2011-10-14,0.000
2011-10-15,15.200
2011-10-16,10.000
2011-10-17,0.000
2011-10-18,0.000
2011-10-19,0.000
2011-10-20,0.000
2011-10-21,0.000
2011-10-22,0.000
2011-10-23,0.000
2011-10-24,0.000
2011-10-25,5.600
2011-10-26,0.000
2011-10-27,0.000
2011-10-28,0.000
