codigo,tipoId,nome,coletaId,orgaoId,municipioId,altitude,latitude,longitude,iniciooperacao,datainstalacao,fimoperacao,orgao
5573691.0,P,AÇU - Rua Vereador José B. de Sá,T,86.0,2400208.0,,-5.569,-36.913,2015-02-06,2015-02-06T16:50:12+0000,,CEMADEN
7743762.0,P,AFOGADOS DA INGAZEIRA - AFOGADOS DA INGAZEIRA - APAC,T,86.0,2600104.0,,-7.74295,-37.62516,2018-03-15,2018-03-16T11:30:53+0000,,CEMADEN
20074112.0,P,AFONSO CLÁUDIO - Afonso Cláudio,T,86.0,3200102.0,,-20.07828,-41.12405,2014-08-06,2014-08-12T14:16:47+0000,,CEMADEN
20214110.0,P,AFONSO CLÁUDIO - Fazenda Guandu,T,86.0,3200102.0,,-20.215,-41.103,2014-08-06,2014-08-12T14:16:58+0000,,CEMADEN
20104116.0,P,AFONSO CLÁUDIO - Floresta,T,86.0,3200102.0,,-20.102,-41.165,2014-08-06,2014-08-12T14:16:58+0000,,CEMADEN
20104112.0,P,AFONSO CLÁUDIO - João Valim,T,86.0,3200102.0,,-20.097,-41.12,2015-02-06,2015-02-06T16:47:40+0000,,CEMADEN
20094112.0,P,AFONSO CLÁUDIO - João Valim,T,86.0,3200102.0,,-20.097,-41.12,2014-08-06,2014-08-12T14:16:52+0000,,CEMADEN
20174119.0,P,AFONSO CLÁUDIO - Piracema,T,86.0,3200102.0,,-20.177,-41.196,2014-08-06,2014-08-12T14:16:51+0000,,CEMADEN
20184120.0,P,AFONSO CLÁUDIO - Piracema,T,86.0,3200102.0,,-20.177,-41.196,2015-02-06,2015-02-06T16:47:39+0000,,CEMADEN
20174105.0,P,AFONSO CLÁUDIO - Piracema,T,86.0,3200102.0,,-20.17,-41.05,2014-08-06,2014-08-12T14:16:58+0000,,CEMADEN
20084112.0,P,AFONSO CLÁUDIO - São Vicente,T,86.0,3200102.0,,-20.083,-41.129,2014-08-06,2014-08-12T14:16:43+0000,,CEMADEN
20064105.0,P,AFONSO CLÁUDIO - Serra Pelada,T,86.0,3200102.0,,-20.061,-41.047,2015-02-06,2015-02-06T16:47:48+0000,,CEMADEN
20064104.0,P,AFONSO CLÁUDIO - Serra Pelada,T,86.0,3200102.0,,-20.061,-41.047,2014-08-06,2014-08-12T14:16:58+0000,2015-11-01,CEMADEN
8443595.0,P,AGRESTINA - AGRESTINA - APAC,T,86.0,2600302.0,,-8.44176,-35.95223,2019-07-07,2019-07-08T20:24:03+0000,2020-08-01,CEMADEN
17994238.0,P,ÁGUA BOA - ,T,86.0,3100609.0,,-17.9925,-42.3899,2014-12-19,2014-12-19T07:19:55+0000,,CEMADEN
17994239.0,P,ÁGUA BOA - Centro,T,86.0,3100609.0,,-17.992,-42.389,2015-02-05,2015-02-06T16:48:55+0000,,CEMADEN
14065216.0,P,ÁGUA BOA - Sede da Prefeitura Municipal,T,86.0,5100201.0,,-14.05706,-52.16182,2016-07-06,2016-07-06T19:17:33+0000,,CEMADEN
18434098.0,P,ÁGUA DOCE DO NORTE - Bom destino,T,86.0,3200169.0,,-18.431,-40.984,2014-08-11,2014-08-12T14:16:48+0000,,CEMADEN
18554098.0,P,ÁGUA DOCE DO NORTE - Centro,T,86.0,3200169.0,,-18.5485,-40.9764,2015-04-27,2015-04-28T15:17:02+0000,,CEMADEN
18634094.0,P,ÁGUA DOCE DO NORTE - Gov. Lacerda de Aguiar,T,86.0,3200169.0,,-18.6358,-40.9443,2017-10-20,2017-10-23T11:40:47+0000,2018-09-05,CEMADEN
18484101.0,P,ÁGUA DOCE DO NORTE - Vila Nelita,T,86.0,3200169.0,,-18.476,-41.013,2015-07-02,2015-07-02T20:19:09+0000,,CEMADEN
8703552.0,P,ÁGUA PRETA - AGUA PRETA - APAC,T,86.0,2600401.0,,-8.70861,-35.52167,2018-03-15,2018-03-16T11:30:55+0000,2019-09-18,CEMADEN
8693552.0,P,ÁGUA PRETA - Bairro D´Ouro,T,86.0,2600401.0,,-8.694,-35.526,2014-08-21,2014-08-21T12:19:08+0000,,CEMADEN
8693553.0,P,ÁGUA PRETA - Bairro D´Ouro,T,86.0,2600401.0,,-8.694,-35.526,2015-02-05,2015-02-06T16:46:19+0000,,CEMADEN
28175203.0,P,ÁGUA SANTA - ,T,86.0,4300059.0,,-28.1763,-52.0347,2014-12-09,2014-12-09T11:20:54+0000,,CEMADEN
28185203.0,P,ÁGUA SANTA - Centro,T,86.0,4300059.0,,-28.176,-52.034,2015-02-05,2015-02-06T16:50:26+0000,,CEMADEN
9123712.0,P,ÁGUAS BELAS - Centro,T,86.0,2600500.0,,-9.116,-37.118,2015-02-05,2015-02-06T16:46:19+0000,,CEMADEN
9113711.0,P,ÁGUAS BELAS - Centro,T,86.0,2600500.0,,-9.116,-37.118,2014-08-21,2014-08-21T12:19:10+0000,,CEMADEN
9123703.0,P,ÁGUAS BELAS - Garanhuns,T,86.0,2600500.0,,-9.128,-37.037,2014-08-21,2014-08-21T12:19:09+0000,2015-11-01,CEMADEN
9133704.0,P,ÁGUAS BELAS - Garanhuns,T,86.0,2600500.0,,-9.128,-37.037,2015-02-05,2015-02-06T16:46:19+0000,,CEMADEN
27065298.0,P,ÁGUAS DE CHAPECÓ - ,T,86.0,4200507.0,,-27.0698,-52.9868,2014-12-14,2014-12-14T16:17:33+0000,,CEMADEN
27075299.0,P,ÁGUAS DE CHAPECÓ - Centro,T,86.0,4200507.0,,-27.069,-52.986,2015-02-05,2015-02-06T16:45:07+0000,,CEMADEN
22474662.0,P,ÁGUAS DE LINDÓIA - ,T,86.0,3500501.0,,-22.4753,-46.6289,2014-12-04,2014-12-04T12:19:12+0000,,CEMADEN
22484659.0,P,ÁGUAS DE LINDÓIA - Alexandre Gatolini,T,86.0,3500501.0,,-22.482,-46.593,2014-12-03,2014-12-03T19:18:32+0000,,CEMADEN
22484663.0,P,ÁGUAS DE LINDÓIA - Jardim São Francisco,T,86.0,3500501.0,,-22.475,-46.628,2015-02-05,2015-02-06T16:46:26+0000,,CEMADEN
22604787.0,P,ÁGUAS DE SÃO PEDRO - Centro,T,86.0,3500600.0,,-22.60101,-47.87462,2015-11-05,2015-11-04T14:16:51+0000,,CEMADEN
15734827.0,P,ÁGUAS LINDAS DE GOIÁS - Mansões Centro Oeste,T,86.0,5200258.0,,-15.733,-48.275,2017-04-29,2017-04-29T14:17:37+0000,,CEMADEN
15764833.0,P,ÁGUAS LINDAS DE GOIÁS - Parque Aguas Bonitas,T,86.0,5200258.0,,-15.755,-48.325,2015-02-06,2015-02-06T16:47:53+0000,,CEMADEN
15754832.0,P,ÁGUAS LINDAS DE GOIÁS - Parque Aguas Bonitas,T,86.0,5200258.0,,-15.755,-48.325,2015-01-21,2015-01-21T15:19:57+0000,2015-11-01,CEMADEN
15754826.0,P,ÁGUAS LINDAS DE GOIÁS - Prefeitura,T,86.0,5200258.0,,-15.754,-48.262,2015-01-20,2015-01-20T08:32:46+0000,,CEMADEN
27704882.0,P,ÁGUAS MORNAS - Centro,T,86.0,4200606.0,,-27.70011,-48.81745,2016-02-19,2016-02-18T14:15:37+0000,,CEMADEN
15724144.0,P,ÁGUAS VERMELHAS - AGUAS VERMELHAS,T,86.0,3101003.0,,-15.72758,-41.44201,2018-07-01,2018-07-20T19:28:01+0000,,CEMADEN
19494107.0,P,AIMORÉS - Igrejinha,T,86.0,3101102.0,,-19.49504,-41.07764,2018-06-27,2018-06-27T15:01:36+0000,,CEMADEN
7043563.0,P,ALAGOA GRANDE - Centro,T,86.0,2500304.0,,-7.039,-35.631,2015-04-09,2015-04-09T21:18:13+0000,,CEMADEN
6953555.0,P,ALAGOINHA - Centro,T,86.0,2500502.0,,-6.95044,-35.54661,2015-04-09,2015-04-09T20:18:13+0000,,CEMADEN
2404441.0,P,ALCÂNTARA - Centro,T,86.0,2100204.0,,-2.404,-44.414,2015-08-17,2015-08-18T13:18:36+0000,,CEMADEN
3584053.0,P,ALCÂNTARAS - ALCANTARAS,T,86.0,2300507.0,,-3.58019,-40.53131,2018-06-01,2018-07-19T20:38:07+0000,2018-07-01,CEMADEN
