ParameterName,default,105.29345130272162,105.29345130272162.1,105.29345130272162.1.1,105.29345130272162.1.1.1,105.29345130272162.1.1.1.1,105.29345130272162.1.1.1.1.1,105.29345130272162.1.1.1.1.1.1,105.29345130272162.1.1.1.1.1.1.1,105.29345130272162.1.1.1.1.1.1.1.1,105.29345130272162.1.1.1.1.1.1.1.1.1,105.29345130272162.1.1.1.1.1.1.1.1.1.1,105.29345130272162.1.1.1.1.1.1.1.1.1.1.1,105.29345130272162.1.1.1.1.1.1.1.1.1.1.1.1,105.29345130272162.1.1.1.1.1.1.1.1.1.1.1.1.1,105.29345130272162.1.1.1.1.1.1.1.1.1.1.1.1.1.1,105.29345130272162.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,105.29345130272162.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,105.29345130272162.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,105.29345130272162
UpperZoneTimeConstant,11.922106635666184,19.928560933834884,19.27981932178881,19.27981932178881,18.330338502311925,17.16884633022333,18.709032296425107,20.11363883542127,20.467366254483377,19.938556789938684,20.112587148379948,19.23702568492495,19.59270019074543,19.186009003052224,19.096377720395164,19.70814826512641,19.72785864546721,19.56673889539037,19.88213330670404,18.708896700146635
LowerZoneTimeConstant,69.7852359641041,4994.456797223007,5144.486130354766,4944.316761757512,4918.7750972480135,4918.7750972480135,4773.827374851607,4635.60459555545,4855.949987505269,4541.992489350439,4608.146613764252,5141.794072074801,4795.776433213833,4634.662642155095,4675.881021800468,4517.059965081964,4472.222065390165,4689.285657954284,5152.291043925216,5060.6151433752675
GwPercValue,1.0119828584597008,1.072115598472541,1.0341871079364104,1.0341871079364104,1.0079470458577278,1.0001256230660034,1.0041385326687622,1.0903470135377713,1.1373279382705104,1.0373885451397855,0.9795136015254116,1.00629333258963,0.9997980145092604,0.9997980145092604,1.0320631204019206,1.0102477246744053,1.0445030892782188,1.013148632615705,0.9632317702861144,0.9633333849424868
LZThreshold,6.223752043179625,14.13702994077027,14.092815810547734,14.461130712672116,14.76695612595847,14.76695612595847,15.461812999900246,15.809451410409508,15.11389182835257,15.319414732087129,15.319414732087129,14.373570645458596,14.349211569116449,13.402776150342264,15.1383849811872,15.670008538695493,15.909546445119489,16.38267812793644,14.53373827367816,14.885488717610373
b_Xinanjiang,2.2385336886122538,2.4093681939093923,2.4263458473977404,2.46943903235885,2.504113344035039,2.497397142308627,2.497397142308627,2.5057326806727835,2.444693629300633,2.4199694692247298,2.477685770654587,2.501545222855676,2.52809753942285,2.52809753942285,2.505602637267586,2.553998057707194,2.553998057707194,2.396762827727582,2.450503002387516,2.377262923449892
PowerPrefFlow,1.2476515280437794,4.007809843717477,4.162752464965335,4.374800928935595,4.275617510484813,4.449887765105223,4.348898985992679,4.264276406185778,4.408815361273359,4.107906311919098,4.152155338816485,4.35206185701152,4.604354355811108,4.731214486547631,4.330673044899633,4.56374894274726,4.56374894274726,4.59980471850991,4.602333066110485,4.70276349463521
SnowMeltCoef,4.848677595230577,4.480184188808887,4.538815522274207,4.538815522274207,4.580774785524162,4.580774785524162,4.652297834262973,4.406173476092643,4.406173476092643,4.448456829448027,4.448456829448027,4.406862293164644,4.373899910602217,4.431696791252878,4.482277672003234,4.453872153597013,4.468302722588528,4.473723963978155,4.632183383092799,4.653996368462544
CalChanMan,1.8326268116987745,1.2721245765208613,1.301419369953014,1.282850723683909,1.2267067752805,1.2500042300512315,1.2305448377745831,1.277719414830348,1.273893571502522,1.299059428553941,1.257093630127405,1.255580839949714,1.2199170092655145,1.1651525558077809,1.3401537928805665,1.335683189420375,1.365733699659765,1.298718406188658,1.2785924849561765,1.2932152803997585
CalChanMan2,2.832888310835467,2.825030021505397,2.872458748434212,2.9327581956801065,2.809340093823995,2.8481587399308714,2.980302864033308,2.835680079087051,3.0040800891581814,3.032021778812485,3.0775575716184105,2.688869863738092,2.662776237570624,2.662776237570624,2.967464723824712,2.990477305855286,3.128260956979361,3.1450744964216604,2.588954767413816,2.549421916988416
LakeMultiplier,0.9139501522033436,1.2397184458870472,1.2265747724316156,1.226015130755419,1.1855204169868696,1.213618935586931,1.1836862031940445,1.2612441959376748,1.2251943849165896,1.216641674405872,1.2130674400906991,1.2169921710740113,1.2619996928004205,1.2619996928004205,1.215744574796346,1.2355459770647796,1.1986703298561514,1.2324638830971906,1.256933520818753,1.2569335208187533
