,thetar3,thetas2,thetar1,thetas3,thetar2,thetas3_o,thetar3_o,thetas1_o,thetas1,thetas2_o,thetas1_f,thetar1_o,thetar2_f,thetas3_f,thetas2_f,thetar2_o,thetar3_f,thetar1_f
36,40816.8,104.323,164.715,104.325,10491.5,104.323,104.323,104.221,104.323,103.266,103.142,104.323,104.323,104.323,24.2806,104.323,104.323,104.323
37,6401.12,137.801,198.034,137.803,10525.7,137.801,137.801,137.335,137.801,136.18,136.695,137.801,137.801,137.801,57.7483,137.801,137.801,137.801
38,40842.8,133.88,194.157,133.882,10522.0,133.88,133.88,133.509,133.88,132.391,132.788,133.88,133.88,133.88,53.8307,133.88,133.88,133.88
39,6377.2,122.037,182.365,122.04,10509.5,122.037,122.037,121.787,122.037,120.738,120.906,122.037,122.037,122.037,41.9898,122.037,122.037,122.037
40,40835.0,127.274,187.58,127.276,10515.5,127.274,127.274,126.998,127.274,125.922,126.176,127.274,127.274,127.274,47.2239,127.274,127.274,127.274
41,6380.75,125.706,186.027,125.709,10513.9,125.706,125.706,125.481,125.706,124.433,124.6,125.706,125.706,125.706,45.6525,125.706,125.706,125.706
42,40828.7,122.657,183.012,122.66,10510.8,122.657,122.657,122.483,122.657,121.467,121.547,122.657,122.657,122.657,42.6024,122.657,122.657,122.657
43,6369.82,115.507,175.913,115.51,10503.1,115.507,115.507,115.445,115.507,114.497,114.369,115.507,115.507,115.507,35.4564,115.507,115.507,115.507
44,40825.7,117.708,178.104,117.71,10506.0,117.708,117.708,117.615,117.708,116.647,116.591,117.708,117.708,117.708,37.6523,117.708,117.708,117.708
45,6367.65,111.743,172.175,111.745,10499.3,111.743,111.743,111.727,111.743,110.811,110.595,111.743,111.743,111.743,31.6923,111.743,111.743,111.743
46,40828.2,118.221,178.614,118.224,10506.8,118.221,118.221,118.109,118.221,117.131,117.115,118.221,118.221,118.221,38.1632,118.221,118.221,118.221
47,6383.44,125.474,185.826,125.477,10514.0,125.474,125.474,125.276,125.474,124.245,124.397,125.474,125.474,125.474,45.4156,125.474,125.474,125.474
48,40866.2,159.128,219.282,159.131,10546.7,159.128,159.128,158.44,159.128,157.148,158.06,159.128,159.128,159.128,79.0581,159.128,159.128,159.128
49,6393.37,144.158,204.408,144.161,10532.2,144.158,144.158,143.773,144.158,142.629,143.092,144.158,144.158,144.158,64.0975,144.158,144.158,144.158
50,40833.0,133.14,193.45,133.143,10521.2,133.14,133.14,132.936,133.14,131.891,132.044,133.14,133.14,133.14,53.0799,133.14,133.14,133.14
51,6368.61,120.385,180.794,120.389,10507.5,120.385,120.385,120.387,120.385,119.475,119.237,120.385,120.385,120.385,40.3349,120.385,120.385,120.385
52,40817.3,114.737,175.196,114.74,10502.2,114.737,114.737,114.793,114.737,113.919,113.582,114.737,114.737,114.737,34.6874,114.737,114.737,114.737
53,6363.4,110.191,170.693,110.195,10497.4,110.191,110.191,110.299,110.191,109.466,109.022,110.191,110.191,110.191,30.1474,110.191,110.191,110.191
54,40813.6,106.743,167.26,106.747,10494.0,106.743,106.743,106.864,106.743,106.045,105.565,106.743,106.743,106.743,26.6988,106.743,106.743,106.743
55,6363.91,105.64,166.146,105.644,10493.3,105.64,105.64,105.726,105.64,104.884,104.477,105.64,105.64,105.64,25.596,105.64,105.64,105.64
56,40858.9,147.817,208.033,147.821,10535.5,147.817,147.817,147.224,147.817,145.987,146.718,147.817,147.817,147.817,67.7514,147.817,147.817,147.817
57,6374.3,122.977,183.384,122.981,10510.1,122.977,122.977,122.863,122.977,121.9,121.827,122.977,122.977,122.977,42.9298,122.977,122.977,122.977
58,40818.4,113.337,173.78,113.341,10500.6,113.337,113.337,113.329,113.337,112.426,112.175,113.337,113.337,113.337,33.2921,113.337,113.337,113.337
