,chanlength,chan,chanbw,chanman,elvstd,gradient,chanflpn,changrad,chanbnkf,lzavin,lat,cropgrpn_o,mannings_o,soildepth3_i,soildepth1_f,cropgrpn_i,cropcoef_o,cropcoef_i,soildepth1_o,soildepth2_o,soildepth2_f,mannings_f,soildepth3_f,soildepth1_i,mannings_i,soildepth2_i,cropgrpn_f,soildepth3_o,cropcoef_f,et,es,ta,pr,e0,laii,laio,laif,thetar3,thetas2,genua1_f,genua1_o,lambda2_o,genua3_f,thetar1,lambda3,thetas3,ksat2_o,thetar2,ksat3_o,thetas3_o
11,25.6073,25.6076,25.6075,25.6073,25.6076,26.6757,25.6076,25.6079,25.6075,25.6076,25.6076,25.6076,25.6109,25.6076,25.6076,25.6076,25.6076,25.6076,25.6076,25.6076,25.6076,25.6083,25.6035,25.6076,25.6076,25.6076,25.6076,25.5952,25.6076,25.6076,25.6076,25.8325,4.87215,25.6497,25.9472,25.6395,25.9548,25.8634,25.6076,25.6076,25.6076,25.6076,25.6076,25.9507,25.5903,6917.52,25.6076,25.6076,25.6076,25.6076
12,25.8257,25.8258,25.8258,25.8258,25.8258,26.0465,25.8258,25.8259,25.8258,25.8258,25.8258,25.8258,25.8293,25.8258,25.8258,25.8258,25.8258,25.8258,25.8258,25.8258,25.8258,25.8266,25.8219,25.8258,25.8258,25.8258,25.8258,25.8142,25.8258,25.8258,25.8258,25.2803,4.86205,25.8557,26.1466,25.8561,26.1559,26.0996,25.8258,25.8258,25.8258,25.8258,25.8258,26.7831,25.8096,20274.2,25.8258,25.8258,25.8258,25.8258
13,44.7739,44.7722,44.7726,44.7736,44.7722,41.3009,44.7722,44.7705,44.7727,44.7722,44.7722,44.7722,44.7775,44.7722,44.7722,44.7722,44.7722,44.7722,44.7722,44.7722,44.7722,44.7734,44.7686,44.7722,44.7722,44.7722,44.7722,44.7612,44.7722,44.7722,44.7722,41.4222,4.97374,49.9921,45.113,44.8029,45.1148,45.063,44.7722,44.7722,44.7722,44.7722,44.7722,51.3251,44.7569,6984.63,44.7722,44.7722,44.7722,44.7722
14,79.7137,79.7104,79.7112,79.7132,79.7104,74.2627,79.7104,79.707,79.7113,79.7104,79.7104,79.7104,79.7193,79.7104,79.7104,79.7104,79.7104,79.7104,79.7104,79.7104,79.7104,79.7123,79.707,79.7104,79.7104,79.7104,79.7104,79.7001,79.7104,79.7104,79.7104,78.4984,6.12175,109.366,80.1465,79.7486,80.1422,80.0171,79.7104,79.7104,79.7104,79.7104,79.7104,96.3701,79.6961,20368.5,79.7104,79.7104,79.7104,79.7104
15,77.524,77.5247,77.5246,77.5241,77.5247,77.3815,77.5247,77.5255,77.5245,77.5247,77.5247,77.5247,77.5348,77.5247,77.5247,77.5247,77.5247,77.5247,77.5247,77.5247,77.5247,77.5269,77.5215,77.5247,77.5247,77.5247,77.5247,77.5149,77.5247,77.5247,77.5247,77.2539,6.38989,87.1216,78.0796,77.5838,78.0709,77.8464,77.5247,77.5247,77.5247,77.5247,77.5247,91.9383,77.5112,7007.82,77.5247,77.5247,77.5247,77.5247
16,61.4959,61.4968,61.4966,61.496,61.4968,64.4206,61.4968,61.4979,61.4966,61.4968,61.4968,61.4968,61.506,61.4968,61.4968,61.4968,61.4968,61.4968,61.4968,61.4968,61.4968,61.4989,61.4938,61.4968,61.4968,61.4968,61.4968,61.4876,61.4968,61.4968,61.4968,62.5387,6.02881,63.8778,62.132,61.5599,62.1099,61.8326,61.4968,61.4968,61.4968,61.4968,61.4968,69.2261,61.4841,20333.6,61.4968,61.4968,61.4968,61.4968
17,75.6635,75.6626,75.6628,75.6634,75.6626,74.4919,75.6626,75.6617,75.6629,75.6626,75.6626,75.6626,75.6735,75.6626,75.6626,75.6626,75.6626,75.6626,75.6626,75.6626,75.6626,75.6651,75.6597,75.6626,75.6626,75.6626,75.6626,75.6539,75.6626,75.6626,75.6626,75.6015,5.69753,85.6022,76.2896,75.7249,76.274,76.0116,75.6626,75.6626,75.6626,75.6626,75.6626,87.6827,75.6506,7027.19,75.6626,75.6626,75.6626,75.6626
18,69.0427,69.043,69.0429,69.0427,69.043,70.6059,69.043,69.0434,69.0429,69.043,69.043,69.043,69.0533,69.043,69.043,69.043,69.043,69.043,69.043,69.043,69.043,69.0455,69.0403,69.043,69.043,69.043,69.043,69.0348,69.043,69.043,69.043,69.9096,5.61736,71.627,69.7523,69.1143,69.7285,69.4044,69.043,69.043,69.043,69.043,69.043,76.2529,69.0317,20344.5,69.043,69.043,69.043,69.043
19,63.6523,63.6526,63.6526,63.6524,63.6526,65.2005,63.6526,63.653,63.6526,63.6526,63.6526,63.6526,63.6622,63.6526,63.6526,63.6526,63.6526,63.6526,63.6526,63.6526,63.6526,63.6551,63.65,63.6526,63.6526,63.6526,63.6526,63.6448,63.6526,63.6526,63.6526,64.2716,5.28888,64.4878,64.371,63.7246,64.3503,64.0258,63.6526,63.6526,63.6526,63.6526,63.6526,68.0534,63.642,6992.57,63.6526,63.6526,63.6526,63.6526
20,58.4859,58.4862,58.4862,58.486,58.4862,59.9463,58.4862,58.4865,58.4861,58.4862,58.4862,58.4862,58.4949,58.4862,58.4862,58.4862,58.4862,58.4862,58.4862,58.4862,58.4862,58.4886,58.4838,58.4862,58.4862,58.4862,58.4862,58.4788,58.4862,58.4862,58.4862,58.7326,5.13949,58.7832,59.2057,58.5578,59.1885,58.8704,58.4862,58.4862,58.4862,58.4862,58.4862,60.2797,58.4762,20303.3,58.4862,58.4862,58.4862,58.4862
21,52.5024,52.5029,52.5028,52.5025,52.5029,53.9423,52.5029,52.5034,52.5028,52.5029,52.5029,52.5029,52.5104,52.5029,52.5029,52.5029,52.5029,52.5029,52.5029,52.5029,52.5029,52.5051,52.5006,52.5029,52.5029,52.5029,52.5029,52.4959,52.5029,52.5029,52.5029,53.0107,5.02884,52.6167,53.2041,52.5728,53.1962,52.8974,52.5029,52.5029,52.5029,52.5029,52.5029,51.5032,52.4934,6950.46,52.5029,52.5029,52.5029,52.5029
22,49.6828,49.6829,49.6829,49.6828,49.6829,50.4714,49.6829,49.6831,49.6829,49.6829,49.6829,49.6829,49.6898,49.6829,49.6829,49.6829,49.6829,49.6829,49.6829,49.6829,49.6829,49.685,49.6808,49.6829,49.6829,49.6829,49.6829,49.6764,49.6829,49.6829,49.6829,49.8187,4.94976,49.741,50.3475,49.7493,50.3422,50.0872,49.6829,49.6829,49.6829,49.6829,49.6829,48.2318,49.674,20300.6,49.6829,49.6829,49.6829,49.6829
23,46.2049,46.2053,46.2052,46.205,46.2053,46.9961,46.2053,46.2056,46.2052,46.2053,46.2053,46.2053,46.2112,46.2053,46.2053,46.2053,46.2053,46.2053,46.2053,46.2053,46.2053,46.2072,46.2032,46.2053,46.2053,46.2053,46.2053,46.199,46.2053,46.2053,46.2053,46.4969,4.92339,46.2323,46.8536,46.27,46.8539,46.6187,46.2053,46.2053,46.2053,46.2053,46.2053,43.3581,46.1968,6976.58,46.2053,46.2053,46.2053,46.2053
24,48.8916,48.8916,48.8916,48.8916,48.8916,48.0962,48.8916,48.8916,48.8916,48.8916,48.8916,48.8916,48.8976,48.8916,48.8916,48.8916,48.8916,48.8916,48.8916,48.8916,48.8916,48.8935,48.8896,48.8916,48.8916,48.8916,48.8916,48.8857,48.8916,48.8916,48.8916,48.8511,4.90321,48.9126,49.5093,48.953,49.51,49.3136,48.8916,48.8916,48.8916,48.8916,48.8916,47.7385,48.8836,20345.8,48.8916,48.8916,48.8916,48.8916
25,47.2292,47.2293,47.2293,47.2292,47.2293,47.3667,47.2293,47.2293,47.2293,47.2293,47.2293,47.2293,47.2348,47.2293,47.2293,47.2293,47.2293,47.2293,47.2293,47.2293,47.2293,47.2312,47.2274,47.2293,47.2293,47.2293,47.2293,47.2237,47.2293,47.2293,47.2293,47.5324,4.88864,47.2384,47.8711,47.291,47.8584,47.6594,47.2293,47.2293,47.2293,47.2293,47.2293,45.3028,47.2218,6979.1,47.2293,47.2293,47.2293,47.2293
