ParameterName,default,0.7902921155528707,0.7206965788586791,0.7179554020226239,0.7016301752078372,0.701602711997857,0.7015881814547029,0.6992498205963938,0.6862644948042523,0.6819096531548227,0.6819058438973638,0.6790765605196204,0.6790035967601974,0.6789670481997699,0.6789670481997699.1,0.6789624182126667,0.6777422394302367,0.6776087002952345,0.6776084102948836,0.6776079302287827,0.6776079302287827.1,0.6776079302287827.1.1,0.6723052593086297,0.6723052593086297.1,0.6723050428463035,0.6711093142207379,0.6711093142207379.1,0.6711093142207379.1.1,0.6711093142207379.1.1.1,0.6711093142207379.1.1.1.1,0.6711093142207379.1.1.1.1.1,0.6711092294550536,0.6711092294550536.1,0.6711092294550536.1.1,0.6711092294550536.1.1.1,0.6711092294550536.1.1.1.1,0.6711092294550536.1.1.1.1.1,0.6711092294550536.1.1.1.1.1.1,0.6711092294550536.1.1.1.1.1.1.1,0.6711091097003583,0.6711091097003583.1,0.6711091097003583
UpperZoneTimeConstant,8.986268312139105,21.10385355744764,21.930098226473184,21.29404511586218,22.1091576384708,22.1091576384708,22.1091576384708,22.5326910404514,22.5326910404514,22.5326910404514,22.5326910404514,22.5326910404514,22.5326910404514,22.5326910404514,22.5326910404514,22.5326910404514,22.29932574782317,22.29932574782317,22.29932574782317,22.29932574782317,22.29932574782317,22.29932574782317,21.29819648531757,21.29819648531757,21.29819648531757,21.29819648531757,21.29819648531757,21.29819648531757,21.29819648531757,21.29819648531757,21.29819648531757,21.29819648531757,21.29819648531757,21.29819648531757,21.29819648531757,21.29819648531757,21.29819648531757,21.29819648531757,21.29819648531757,21.29819648531757,21.29819648531757,21.298196485317572
LowerZoneTimeConstant,2540.5222286567573,5220.1835345758855,5461.30154474636,5461.30154474636,5548.968144189401,5630.951808938998,5630.951808938998,5630.951808938998,5630.951808938998,5630.951808938998,5630.951808938998,5630.951808938998,5630.951808938998,5472.65235800371,5472.65235800371,5472.65235800371,5472.65235800371,5472.65235800371,5472.65235800371,5472.65235800371,5472.65235800371,5472.65235800371,5472.65235800371,5472.65235800371,5472.65235800371,5472.65235800371,5472.65235800371,5472.65235800371,5472.65235800371,5472.65235800371,5472.65235800371,5472.65235800371,5472.65235800371,5472.65235800371,5472.65235800371,5472.65235800371,5472.65235800371,5472.65235800371,5472.65235800371,5472.65235800371,5472.65235800371,5472.65235800371
GwPercValue,0.2042084431463395,1.0162168558980826,0.9998383987855886,0.9998383987855886,0.9320436932145018,0.9320436932145018,0.9320436932145018,0.9320436932145018,0.947406133984823,0.9408930992924716,0.9408930992924716,0.9408930992924716,0.9408930992924716,0.9421229433748224,0.9421229433748224,0.9421229433748224,0.9421229433748224,0.9353878565286476,0.9353878565286476,0.9353878565286476,0.9353878565286476,0.9353878565286476,0.9353878565286476,0.9353878565286476,0.9353878565286476,0.873602985892641,0.873602985892641,0.873602985892641,0.873602985892641,0.873602985892641,0.873602985892641,0.873602985892641,0.873602985892641,0.873602985892641,0.873602985892641,0.873602985892641,0.873602985892641,0.873602985892641,0.873602985892641,0.873602985892641,0.873602985892641,0.873602985892641
LZThreshold,12.492190273012634,14.07238943185263,15.100715373798426,14.977338105306458,14.977338105306458,15.672300495923588,15.672300495923588,15.672300495923588,15.672300495923588,15.672300495923588,14.430135313757814,14.17807834864123,14.17807834864123,14.17807834864123,14.17807834864123,14.17807834864123,14.11770263828024,14.11770263828024,14.11770263828024,14.11770263828024,13.916067400509082,13.916067400509082,13.916067400509082,13.916067400509082,13.916067400509082,13.916067400509082,13.916067400509082,13.916067400509082,13.101068011570309,13.101068011570309,13.101068011570309,13.101068011570309,13.101068011570309,13.101068011570309,13.101068011570309,13.101068011570309,13.101068011570309,13.101068011570309,13.101068011570309,13.101068011570309,13.101068011570309,13.101068011570309
b_Xinanjiang,2.5655273354784933,2.72209452557976,2.796382805072689,2.796382805072689,2.796382805072689,2.796382805072689,2.796382805072689,2.796382805072689,2.72035095599493,2.72035095599493,2.72035095599493,2.7260775360619207,2.753256681115437,2.753256681115437,2.6847576179048893,2.6847576179048893,2.79182698735282,2.79182698735282,2.79182698735282,2.79182698735282,2.8010631215003525,2.774101361019228,2.774101361019228,2.774101361019228,2.774101361019228,2.774101361019228,2.774101361019228,2.774101361019228,2.774101361019228,2.774101361019228,2.774101361019228,2.9117479587025388,2.9117479587025388,2.9117479587025388,2.9117479587025388,2.9117479587025388,2.9117479587025388,2.9117479587025388,2.9117479587025388,2.9117479587025388,2.9117479587025388,2.9117479587025388
PowerPrefFlow,4.920402105156972,4.304246551006715,4.168803659845501,4.298538358187494,4.346293632962065,4.346293632962065,4.213951948232332,4.253356512307711,3.99282660215061,3.99282660215061,3.925224516264948,3.925224516264948,3.9585499207862447,3.9585499207862447,3.9585499207862447,3.7262639283618952,3.7262639283618952,3.7262639283618952,3.7262639283618952,3.7262639283618952,3.7262639283618952,3.7262639283618952,3.7262639283618952,3.7262639283618952,3.7262639283618952,3.7262639283618952,3.7262639283618952,3.7262639283618952,3.7262639283618952,3.7262639283618952,3.7262639283618952,3.7262639283618952,3.7262639283618952,3.7262639283618952,3.7262639283618952,3.7262639283618952,3.7262639283618952,3.7262639283618952,3.7262639283618952,3.7262639283618952,3.7262639283618952,3.7262639283618952
SnowMeltCoef,4.774950725124599,4.557353777279713,4.668674442842189,4.56926287091857,4.56926287091857,4.56926287091857,4.595957628589317,4.467899664974138,4.467899664974138,4.467899664974138,4.467899664974138,4.467899664974138,4.467899664974138,4.467899664974138,4.467899664974138,4.546050847540841,4.546050847540841,4.391943660811909,4.391943660811909,4.391943660811909,4.391943660811909,4.391943660811909,4.391943660811909,4.391943660811909,4.391943660811909,4.391943660811909,4.351573882405796,4.351573882405796,4.351573882405796,4.351573882405796,4.351573882405796,4.351573882405796,4.351573882405796,4.351573882405796,4.351573882405796,4.351573882405796,4.351573882405796,4.351573882405796,4.351573882405796,4.351573882405796,4.351573882405796,4.351573882405796
CalChanMan,1.9009717292931865,1.3283566522744623,1.3685018961755682,1.3685018961755682,1.3649887991860663,1.3649887991860663,1.3649887991860663,1.3632768067844514,1.3628842792647342,1.3814096215245282,1.3814096215245282,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991,1.419793904389991
CalChanMan2,3.038533029334572,2.875175274697904,2.916102269087028,2.916102269087028,2.8970640088548443,2.8970640088548443,2.8226197653626603,2.732153219383316,2.732153219383316,2.732153219383316,2.77699817399436,2.77699817399436,2.77699817399436,2.8797062843723524,2.9428882979028512,2.9428882979028512,2.9428882979028512,2.9428882979028512,2.9428882979028512,3.0418773419816207,3.0418773419816207,3.0418773419816207,3.048495072411153,3.048495072411153,3.048495072411153,3.079672406317919,3.079672406317919,3.079672406317919,3.079672406317919,3.079672406317919,3.079672406317919,3.079672406317919,3.079672406317919,3.079672406317919,3.079672406317919,3.079672406317919,3.079672406317919,3.079672406317919,3.079672406317919,3.079672406317919,3.079672406317919,3.079672406317919
LakeMultiplier,1.7474212305968166,1.220661330619223,1.220586634053819,1.286507926322762,1.2833092429122457,1.2859191618633323,1.2859191618633323,1.2859191618633323,1.2859191618633323,1.2859191618633323,1.2859191618633323,1.2919153552175586,1.2717391374453209,1.2717391374453209,1.2717391374453209,1.2717391374453209,1.2717391374453209,1.2717391374453209,1.2717391374453209,1.2717391374453209,1.2717391374453209,1.2717391374453209,1.2717391374453209,1.2359182611518025,1.2359182611518025,1.2359182611518025,1.2359182611518025,1.229072573650406,1.229072573650406,1.229072573650406,1.2395399848241362,1.265943297838312,1.265943297838312,1.265943297838312,1.265943297838312,1.265943297838312,1.265943297838312,1.265943297838312,1.265943297838312,1.265943297838312,1.265943297838312,1.265943297838312
