y,x,ec_ldd_x,thetar3,genua1_f,genua1_o,lambda2_o,pixelarea,thetar1,lambda3,thetas3,ksat2_o,thetar2,ksat2_f,lambda2_f,lambda1_o,thetas1_o,thetas2_o,genua2_f,thetas1_f,lambda1_f,genua3,thetar1_o,thetar2_f,ksat1_f,ksat1_o,ksat3,genua2_o,thetas2_f,thetar1_f,ec_chanbw,chanlength,pixarea,area,chan,chanbw,chanman,chans,lzavin_x,acc_metros,ec_ldd_y,elvstd,gradient,ec_chanbnkf,changrad,ec_chanman,pixleng,chanbnkf,ec_outlets,lzavin_y,lat,cropgrpn_o,mannings_o,soildepth1_f,cropgrpn_i,cropcoef_o,cropcoef_i,soildepth1_o,soildepth2_o,soildepth2_0,soildepth2_f,mannings_f,soildepth3_f,mannings_i,cropgrpn_f,soildepth3_o,cropcoef_f,fracirrigated,fracother,fracforest,fracrice,fracsealed,fracwater
-25.8,-49.39,4.0,0.041,0.031618703,0.031618703,0.31390318,1.0,0.041,0.31279925,0.5181117,15.716214,0.041,15.716214,0.31390318,0.39420858,0.5630761,0.5181117,0.0066369525,0.5630761,0.39420858,0.0066369525,0.041,0.041,65.85641,65.85641,15.716214,0.0066369525,0.5181117,0.041,12.411873,501.4630126953125,27900594.0,1.0,1.0,4.7673882e-05,0.053575,1.0,0.4950000000000041,14898.088,4.0,6.9663916,,1.5465044,0.0022,0.05386,5282.1013,0.20027664,0.0,0.4950000000000041,-25.799305555999997,4.0,0.0,50.0,3.0,1.0,1.1,50.0,500.0,1500.0,1150.0,0.04160485,3800.0,0.036098935,3.5,3800.0,1.0,0.19,0.37,0.43,0.0,0.01,0.0
-25.8,-49.34,16.0,0.041,0.031679336,0.031679336,0.3022636,1.0,0.041,0.30115345,0.51588315,13.929099,0.041,13.929099,0.3022636,0.3981489,0.5659015,0.51588315,0.0059347833,0.5659015,0.3981489,0.0059347833,0.041,0.041,60.936005,60.936005,13.929099,0.0059347833,0.51588315,0.041,11.422931,501.51556396484375,27900594.0,1.0,1.0,2.3836941e-05,0.053875,1.0,0.4700000000000189,7449.044,16.0,8.711944,,1.5417653,0.185,0.05386,5282.1013,0.14916313,0.0,0.4700000000000189,-25.799305555999997,4.0,1.016792e-06,50.0,3.0,1.0,1.1,50.0,500.0,1500.0,1150.0,0.040888313,3800.0,0.037238225,3.5,3800.0,1.0,0.09,0.34,0.51,0.0,0.06,0.0
-25.8,-49.29,16.0,0.041,0.030960087,0.030960087,0.3138773,1.0,0.041,0.31250423,0.5293574,15.978573,0.041,15.978573,0.3138773,0.40369815,0.58343893,0.5293574,0.0061942725,0.58343893,0.40369815,0.0061942725,0.041,0.041,51.398323,51.398323,15.978573,0.0061942725,0.5293574,0.041,11.17684,501.4945068359375,27900594.0,1.0,1.0,2.3836941e-05,0.05407,1.0,0.4950000000000041,7449.044,16.0,11.026869,,1.5457525,0.1876,0.054265,5282.1013,0.17379414,0.0,0.4950000000000041,-25.799305555999997,4.0,0.0,50.0,3.0,1.0,1.1,50.0,500.0,1500.0,1150.0,0.040176082,3800.0,0.037653953,3.5,3800.0,1.0,0.06,0.31,0.62,0.0,0.01,0.0
-25.8,-49.24,64.0,0.041,0.023563018,0.023563018,0.29035398,1.0,0.041,0.288496,0.5387964,12.530458,0.041,12.530458,0.29035398,0.3741417,0.58826107,0.5387964,0.0041445172,0.58826107,0.3741417,0.0041445172,0.041,0.041,32.42269,32.42269,12.530458,0.0041445172,0.5387964,0.041,13.818549,501.5400695800781,27900594.0,1.0,1.0,2.3836941e-05,0.05425,1.0,0.5,7449.044,64.0,52.050407,,1.5660683,0.0092,0.056005,5282.1013,0.1535976,0.0,0.5,-25.799305555999997,4.0,0.0,50.0,3.0,1.0,1.1,50.0,500.0,1500.0,1150.0,0.04006592,3800.0,0.03657175,3.5,3800.0,1.0,0.13,0.27,0.6,0.0,0.0,0.0
-25.8,-49.19,4.0,0.041,0.02611015,0.02611015,0.3068523,1.0,0.041,0.3052948,0.52350193,14.961013,0.041,14.961013,0.3068523,0.37847894,0.5789327,0.5264312,0.0056222016,0.5789327,0.37847894,0.0056222016,0.041,0.041,40.56383,40.56383,15.499937,0.0056222016,0.5264312,0.041,31.605026,1260.054443359375,27900594.0,1.0,1.0,2.3836941e-05,0.053559999999999997,1.0,0.5,7449.044,4.0,7.7853866,,1.6819215,0.0092,0.053605,5282.1013,0.3872195,0.0,0.5,-25.799305555999997,4.0,0.0,50.0,3.0,1.0,1.1,50.0,500.0,1500.0,1150.0,0.056623995,3800.0,0.035415553,3.5,3800.0,1.0,0.14,0.42,0.44,0.0,0.0,0.0
-25.8,-49.14,16.0,0.041,0.022528661,0.022528661,0.29669753,1.0,0.041,0.29771608,0.5245315,12.060463,0.041,12.060463,0.29669753,0.36059228,0.57416356,0.5247372,0.0052603725,0.57416356,0.36059228,0.0054236734,0.041,0.041,34.38817,34.38817,12.453144,0.0052603725,0.5247372,0.041,23.016132,1620.7930908203125,27900594.0,1.0,1.0,0.0003575541,0.05374,1.0,0.4900000000000075,111735.66,16.0,10.061038,,1.6283338,0.1832,0.053605,5282.1013,0.24563524,0.0,0.4900000000000075,-25.799305555999997,4.0,3.050376e-06,50.0,3.0,1.0,1.1,50.0,500.0,1500.0,1150.0,0.05089855,3800.0,0.035497375,3.5,3800.0,1.0,0.03,0.33,0.62,0.0,0.02,0.0
-25.8,-49.09,1.0,0.041,0.018078968,0.018078968,0.26394898,1.0,0.041,0.26187015,0.52807766,12.959314,0.041,12.959314,0.26394898,0.33955678,0.5727459,0.52807766,0.002979747,0.5727459,0.33955678,0.002979747,0.041,0.041,27.376566,27.376566,12.959314,0.002979747,0.52807766,0.041,15.632921,501.4139099121094,27900594.0,1.0,1.0,2.3836941e-05,0.0535,1.0,0.4900000000000075,7449.044,1.0,16.948301,,1.604524,0.0274,0.053995,5282.1013,0.26991206,0.0,0.4900000000000075,-25.799305555999997,4.0,0.0,50.0,3.0,1.0,1.1,50.0,500.0,1500.0,1150.0,0.04,3800.0,0.038986735,3.5,3800.0,1.0,0.0,0.09,0.89,0.0,0.0,0.02
-25.8,-49.04,1.0,0.041,0.020586185,0.020586185,0.24481905,1.0,0.041,0.24220729,0.53963596,11.675999,0.041,11.675999,0.24481905,0.36146897,0.58915865,0.53963596,0.0020341782,0.58915865,0.36146897,0.0020341782,0.041,0.041,29.939949,29.939949,11.675999,0.0020341782,0.53963596,0.041,37.028336,3037.503662109375,27900594.0,1.0,1.0,2.3836941e-05,0.0526,1.0,0.5,7449.044,1.0,21.39855,,1.6901087,0.019,0.052525,5282.1013,0.45895928,0.0,0.5,-25.799305555999997,4.0,0.0,50.0,3.0,1.0,1.1,50.0,500.0,1500.0,1150.0,0.04,3800.0,0.04,3.5,3800.0,1.0,0.0,0.05,0.95,0.0,0.0,0.0
-25.8,-48.99,1.0,0.041,0.01633162,0.01633162,0.22662264,1.0,0.179,0.22381918,0.53722256,11.459588,0.179,11.459588,0.22662264,0.3331262,0.5909413,0.5372265,0.0014956124,0.5909413,0.3331262,0.0014956124,0.179,0.179,22.480759,22.480759,10.933924,0.0014956124,0.5372265,0.179,45.13583,501.51556396484375,27900594.0,1.0,1.0,2.3836941e-05,0.051505,1.0,0.4988823437106298,7449.044,1.0,11.058287,,1.6814839,0.0034,0.05245,5282.1013,0.47775257,0.0,0.4988823437106298,-25.799305555999997,4.0,0.0,50.0,3.0,1.0,1.1,50.0,500.0,1500.0,1150.0,0.04,3800.0,0.037712943,3.5,3800.0,1.0,0.0,0.07,0.93,0.0,0.0,0.0
-25.79,-49.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044444444444444446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
