,1.0031460998679358
0,19.812092675613545
1,5058.7870120425005
2,0.9644730369415444
3,14.806135104524913
4,2.415080212533375
5,4.364366243601321
6,4.62246191962236
7,1.2245243045796985
8,2.7728169181981355
9,1.2702902462217025
10,0.5105474140502178
11,1.1120459751996545
12,50.9533251413629
13,10.313947154164477
14,2.2932015941522956
15,2.666845888521771
16,2.567816639156876
17,0.23847798111826254
18,0.5196126313691921
19,0.47130833807316264
20,0.519822220341566
21,0.5015786831370129
22,0.49020747847891905
23,0.5462894402341142
24,0.02701899962637802
25,0.20062128174104366
26,0.5170521792527698
27,0.49758466966447834
28,26.755458912671077
29,0.6654518177729055
30,0.10991156906436042
31,893.0237795937588
32,5342.648998674587
