ParameterName,default,1.4251530620836794,0.6901770976992766,0.6148771727065016,0.6148771727065016.1,0.5981555798532454,0.5906731718957816,0.5906731718957816.1,0.5866254909872576,0.586254403560921,0.5845727518108459,0.5814026593108628,0.5721673216642557,0.5721673216642557.1,0.5706079606946214,0.5706079606946214.1,0.5706079606946214.1.1,0.5706079606946214.1.1.1,0.5706079606946214.1.1.1.1,0.5706079606946214.1.1.1.1.1,0.5706079606946214.1.1.1.1.1.1,0.5706079606946214.1.1.1.1.1.1.1,0.5706079606946214.1.1.1.1.1.1.1.1,0.5706079606946214.1.1.1.1.1.1.1.1.1,0.5706079606946214.1.1.1.1.1.1.1.1.1.1,0.5691717572678386,0.5691717572678386.1,0.5691717572678386.1.1,0.5691717572678386
UpperZoneTimeConstant,9.89046941501782,20.005,15.153569023290018,14.45017098945669,14.45017098945669,14.45017098945669,14.45017098945669,14.45017098945669,13.793442752941035,13.793442752941035,13.793442752941035,13.27310856579013,13.27310856579013,13.27310856579013,13.27310856579013,13.27310856579013,13.27310856579013,13.27310856579013,13.27310856579013,13.27310856579013,13.27310856579013,13.27310856579013,13.27310856579013,13.27310856579013,13.27310856579013,13.27310856579013,13.27310856579013,13.27310856579013,13.27310856579013
LowerZoneTimeConstant,549.4796455824301,7076.0500901712,4714.90348874216,4714.90348874216,4714.90348874216,4714.90348874216,4714.90348874216,4714.90348874216,4714.90348874216,4714.90348874216,3945.2113183735146,3945.2113183735146,3945.2113183735146,3945.2113183735146,2546.0334251173426,2546.0334251173426,2546.0334251173426,2546.0334251173426,2546.0334251173426,2546.0334251173426,2546.0334251173426,2546.0334251173426,2546.0334251173426,2546.0334251173426,2546.0334251173426,1796.1375711871233,1796.1375711871233,1796.1375711871233,1796.1375711871233
GwPercValue,1.47473869929457,1.1051425498500356,1.1051425498500356,0.9060557153454206,0.9060557153454206,0.0934266399243936,0.4555006679631808,0.4555006679631808,0.4555006679631808,0.4555006679631808,0.4555006679631808,0.4555006679631808,0.618422170294938,0.618422170294938,0.618422170294938,0.618422170294938,0.618422170294938,0.618422170294938,0.618422170294938,0.618422170294938,0.618422170294938,0.618422170294938,0.618422170294938,0.618422170294938,0.618422170294938,0.618422170294938,0.618422170294938,0.618422170294938,0.618422170294938
LZThreshold,28.67962583409484,10.022753875221893,12.071067499025261,12.071067499025261,12.071067499025261,12.071067499025261,12.071067499025261,11.14229059064283,11.14229059064283,11.14229059064283,11.14229059064283,11.14229059064283,12.405184556267034,12.405184556267034,12.405184556267034,12.405184556267034,12.405184556267034,12.405184556267034,12.405184556267034,12.405184556267034,12.405184556267034,12.405184556267034,12.405184556267034,12.405184556267034,12.405184556267034,12.405184556267034,12.405184556267034,12.405184556267034,12.405184556267034
b_Xinanjiang,2.932745640651581,1.0476918121619585,0.16357399666416528,0.023374999684804675,0.023374999684804675,0.023374999684804675,0.023374999684804675,0.023374999684804675,0.023374999684804675,0.023374999684804675,0.023374999684804675,0.023374999684804675,0.023374999684804675,0.023374999684804675,0.023374999684804675,0.023374999684804675,0.023374999684804675,0.023374999684804675,0.023374999684804675,0.023374999684804675,0.023374999684804675,0.023374999684804675,0.023374999684804675,0.023374999684804675,0.023374999684804675,0.023374999684804675,0.023374999684804675,0.023374999684804675,0.023374999684804675
PowerPrefFlow,0.9910476672951972,5.695837215154998,5.241258941311656,4.4611116994115445,4.4611116994115445,4.4611116994115445,4.169460012817585,4.169460012817585,4.169460012817585,4.169460012817585,4.169460012817585,4.169460012817585,1.297675723216516,1.297675723216516,1.297675723216516,1.297675723216516,1.297675723216516,1.297675723216516,1.297675723216516,1.297675723216516,1.297675723216516,1.297675723216516,1.297675723216516,1.297675723216516,1.297675723216516,1.297675723216516,1.297675723216516,1.297675723216516,1.297675723216516
SnowMeltCoef,3.675248944532224,3.884485129467347,4.258155979315232,4.258155979315232,4.258155979315232,4.258155979315232,4.258155979315232,4.258155979315232,4.913184513024847,4.913184513024847,4.913184513024847,4.913184513024847,4.913184513024847,4.913184513024847,4.913184513024847,4.913184513024847,4.913184513024847,4.913184513024847,4.913184513024847,4.913184513024847,4.913184513024847,4.913184513024847,4.913184513024847,4.913184513024847,4.913184513024847,4.677692949256319,4.677692949256319,4.677692949256319,4.677692949256319
CalChanMan,1.3743108413208576,0.7594500065378634,0.6404264452847002,0.6404264452847002,0.6404264452847002,0.6404264452847002,0.6404264452847002,0.6404264452847002,0.6404264452847002,0.6404264452847002,0.6404264452847002,0.6404264452847002,0.6404264452847002,0.6404264452847002,0.6404264452847002,0.6404264452847002,0.6404264452847002,0.6404264452847002,0.6404264452847002,0.6404264452847002,0.6404264452847002,0.6404264452847002,0.6404264452847002,0.6404264452847002,0.6404264452847002,0.6404264452847002,0.6404264452847002,0.6404264452847002,0.6404264452847002
CalChanMan2,0.8606680495767594,2.75,2.927172636710323,2.927172636710323,2.927172636710323,1.6559109760111503,1.6559109760111503,1.2616146022459938,1.2616146022459938,1.2616146022459938,1.2616146022459938,1.2616146022459938,1.2616146022459938,1.2616146022459938,1.7330509592024956,1.7330509592024956,1.7330509592024956,1.7330509592024956,1.7330509592024956,1.7330509592024956,0.9598328818101233,0.9598328818101233,0.5342690396950733,0.5342690396950733,0.5342690396950733,0.5342690396950733,0.5342690396950733,0.5342690396950733,0.5342690396950733
LakeMultiplier,0.6688858102038712,1.25,1.25,1.25,1.0403254986698958,1.0403254986698958,1.0280092838324315,1.0280092838324315,1.0280092838324315,1.0280092838324315,1.0280092838324315,1.0280092838324315,1.0280092838324315,1.0280092838324315,1.0280092838324315,1.0280092838324315,1.0280092838324315,1.0280092838324315,1.0280092838324315,1.0280092838324315,1.0280092838324315,1.0280092838324315,1.0280092838324315,1.0280092838324315,1.0280092838324315,1.0280092838324315,1.0280092838324315,1.0280092838324315,1.0280092838324315
